file_id,season,bat_first_team,bat_second_team,bat_first_won,prob_bat_first,predicted_winner,correct,confidence
335982,2008,Kolkata Knight Riders,Royal Challengers Bengaluru,1,0.125,Royal Challengers Bengaluru,0,0.875
335983,2008,Chennai Super Kings,Kings XI Punjab,1,0.125,Kings XI Punjab,0,0.875
335984,2008,Rajasthan Royals,Delhi Capitals,0,0.125,Delhi Capitals,1,0.875
335986,2008,Deccan Chargers,Kolkata Knight Riders,0,0.8359375,Deccan Chargers,0,0.8359375
335985,2008,Mumbai Indians,Royal Challengers Bengaluru,0,0.95,Mumbai Indians,0,0.95
335987,2008,Kings XI Punjab,Rajasthan Royals,0,0.8359375,Kings XI Punjab,0,0.8359375
335988,2008,Deccan Chargers,Delhi Capitals,0,0.43902439024390244,Delhi Capitals,1,0.5609756097560976
335989,2008,Chennai Super Kings,Mumbai Indians,1,0.7619047619047619,Chennai Super Kings,1,0.7619047619047619
335990,2008,Deccan Chargers,Rajasthan Royals,0,0.43902439024390244,Rajasthan Royals,1,0.5609756097560976
335991,2008,Kings XI Punjab,Mumbai Indians,1,0.7619047619047619,Kings XI Punjab,1,0.7619047619047619
335993,2008,Kolkata Knight Riders,Chennai Super Kings,0,0.23076923076923078,Chennai Super Kings,1,0.7692307692307692
335992,2008,Royal Challengers Bengaluru,Rajasthan Royals,0,0.43902439024390244,Rajasthan Royals,1,0.5609756097560976
335994,2008,Mumbai Indians,Deccan Chargers,0,0.6415094339622641,Mumbai Indians,0,0.6415094339622641
335995,2008,Delhi Capitals,Kings XI Punjab,0,0.43902439024390244,Kings XI Punjab,1,0.5609756097560976
335996,2008,Chennai Super Kings,Royal Challengers Bengaluru,1,0.7619047619047619,Chennai Super Kings,1,0.7619047619047619
335997,2008,Kolkata Knight Riders,Mumbai Indians,0,0.8359375,Kolkata Knight Riders,0,0.8359375
335998,2008,Delhi Capitals,Royal Challengers Bengaluru,1,0.5074626865671642,Delhi Capitals,1,0.5074626865671642
335999,2008,Deccan Chargers,Kings XI Punjab,0,0.6153846153846154,Deccan Chargers,0,0.6153846153846154
336000,2008,Rajasthan Royals,Kolkata Knight Riders,1,0.6896551724137931,Rajasthan Royals,1,0.6896551724137931
336001,2008,Chennai Super Kings,Delhi Capitals,0,0.2222222222222222,Delhi Capitals,1,0.7777777777777778
336034,2008,Royal Challengers Bengaluru,Deccan Chargers,1,0.8359375,Royal Challengers Bengaluru,1,0.8359375
336003,2008,Kings XI Punjab,Kolkata Knight Riders,1,0.7619047619047619,Kings XI Punjab,1,0.7619047619047619
336004,2008,Mumbai Indians,Delhi Capitals,1,0.6153846153846154,Mumbai Indians,1,0.6153846153846154
