file_id,season,date,team1,team2,team1_won,prob_team1_wins,predicted_winner,correct
1359475,2023,2023-03-31,Chennai Super Kings,Gujarat Titans,0,0.3902439,Gujarat Titans,1
1359477,2023,2023-04-01,Lucknow Super Giants,Delhi Capitals,1,0.3902439,Delhi Capitals,0
1359476,2023,2023-04-01,Kings XI Punjab,Kolkata Knight Riders,1,0.3902439,Kolkata Knight Riders,0
1359478,2023,2023-04-02,Rajasthan Royals,Sunrisers Hyderabad,1,0.47164592,Sunrisers Hyderabad,0
1359479,2023,2023-04-02,Mumbai Indians,Royal Challengers Bengaluru,0,0.11111111,Royal Challengers Bengaluru,1
1359480,2023,2023-04-03,Chennai Super Kings,Lucknow Super Giants,1,0.47242922,Lucknow Super Giants,0
1359481,2023,2023-04-04,Delhi Capitals,Gujarat Titans,0,0.3902439,Gujarat Titans,1
1359482,2023,2023-04-05,Kings XI Punjab,Rajasthan Royals,1,0.47164592,Rajasthan Royals,0
1359483,2023,2023-04-06,Kolkata Knight Riders,Royal Challengers Bengaluru,1,0.47242922,Royal Challengers Bengaluru,0
1359484,2023,2023-04-07,Sunrisers Hyderabad,Lucknow Super Giants,0,0.3902439,Lucknow Super Giants,1
1359485,2023,2023-04-08,Rajasthan Royals,Delhi Capitals,1,0.47242922,Delhi Capitals,0
1359486,2023,2023-04-08,Mumbai Indians,Chennai Super Kings,0,0.3902439,Chennai Super Kings,1
1359487,2023,2023-04-09,Gujarat Titans,Kolkata Knight Riders,0,0.47242922,Kolkata Knight Riders,1
1359488,2023,2023-04-09,Kings XI Punjab,Sunrisers Hyderabad,0,0.47164592,Sunrisers Hyderabad,1
1359489,2023,2023-04-10,Royal Challengers Bengaluru,Lucknow Super Giants,0,0.47242922,Lucknow Super Giants,1
1359490,2023,2023-04-11,Delhi Capitals,Mumbai Indians,0,0.3902439,Mumbai Indians,1
1359491,2023,2023-04-12,Rajasthan Royals,Chennai Super Kings,1,0.47242922,Chennai Super Kings,0
1359492,2023,2023-04-13,Kings XI Punjab,Gujarat Titans,0,0.47164592,Gujarat Titans,1
1359493,2023,2023-04-14,Sunrisers Hyderabad,Kolkata Knight Riders,1,0.47164592,Kolkata Knight Riders,0
1359494,2023,2023-04-15,Royal Challengers Bengaluru,Delhi Capitals,1,0.41237113,Delhi Capitals,0
1359495,2023,2023-04-15,Lucknow Super Giants,Kings XI Punjab,0,0.47242922,Kings XI Punjab,1
1359496,2023,2023-04-16,Kolkata Knight Riders,Mumbai Indians,0,0.47242922,Mumbai Indians,1
1359497,2023,2023-04-16,Gujarat Titans,Rajasthan Royals,0,0.47164592,Rajasthan Royals,1
1359498,2023,2023-04-17,Chennai Super Kings,Royal Challengers Bengaluru,1,0.47164592,Royal Challengers Bengaluru,0
1359499,2023,2023-04-18,Mumbai Indians,Sunrisers Hyderabad,1,0.47164592,Sunrisers Hyderabad,0
1359500,2023,2023-04-19,Lucknow Super Giants,Rajasthan Royals,1,0.41237113,Rajasthan Royals,0
1359501,2023,2023-04-20,Royal Challengers Bengaluru,Kings XI Punjab,1,0.3902439,Kings XI Punjab,0
1359502,2023,2023-04-20,Kolkata Knight Riders,Delhi Capitals,0,0.47164592,Delhi Capitals,1
1359503,2023,2023-04-21,Sunrisers Hyderabad,Chennai Super Kings,0,0.47164592,Chennai Super Kings,1
1359505,2023,2023-04-22,Kings XI Punjab,Mumbai Indians,1,0.41237113,Mumbai Indians,0
1359504,2023,2023-04-22,Gujarat Titans,Lucknow Super Giants,1,0.47242922,Lucknow Super Giants,0
1359506,2023,2023-04-23,Royal Challengers Bengaluru,Rajasthan Royals,1,0.3902439,Rajasthan Royals,0
1359507,2023,2023-04-23,Chennai Super Kings,Kolkata Knight Riders,1,0.47164592,Kolkata Knight Riders,0
1359508,2023,2023-04-24,Delhi Capitals,Sunrisers Hyderabad,1,0.47242922,Sunrisers Hyderabad,0
