season,date,bat_first,bat_second,prob_chase_wins,predicted_winner,actual_winner,correct,confidence
2023,2023-03-31,Chennai Super Kings,Gujarat Titans,0.5583820285721027,Gujarat Titans,Gujarat Titans,1,0.05838202857210273
2023,2023-04-01,Kings XI Punjab,Kolkata Knight Riders,0.533688731124446,Kolkata Knight Riders,Kings XI Punjab,0,0.033688731124446036
2023,2023-04-01,Lucknow Super Giants,Delhi Capitals,0.5683291220629341,Delhi Capitals,Lucknow Super Giants,0,0.06832912206293407
2023,2023-04-02,Rajasthan Royals,Sunrisers Hyderabad,0.5853925107559327,Sunrisers Hyderabad,Rajasthan Royals,0,0.08539251075593268
2023,2023-04-02,Mumbai Indians,Royal Challengers Bengaluru,0.5823183757878332,Royal Challengers Bengaluru,Royal Challengers Bengaluru,1,0.08231837578783319
2023,2023-04-03,Chennai Super Kings,Lucknow Super Giants,0.5560844228607446,Lucknow Super Giants,Chennai Super Kings,0,0.056084422860744554
2023,2023-04-04,Delhi Capitals,Gujarat Titans,0.6106934601559497,Gujarat Titans,Gujarat Titans,1,0.11069346015594972
2023,2023-04-05,Kings XI Punjab,Rajasthan Royals,0.6242359927302623,Rajasthan Royals,Kings XI Punjab,0,0.12423599273026231
2023,2023-04-06,Kolkata Knight Riders,Royal Challengers Bengaluru,0.6075301560936665,Royal Challengers Bengaluru,Kolkata Knight Riders,0,0.10753015609366645
2023,2023-04-07,Sunrisers Hyderabad,Lucknow Super Giants,0.6571256645381949,Lucknow Super Giants,Lucknow Super Giants,1,0.15712566453819488
2023,2023-04-08,Rajasthan Royals,Delhi Capitals,0.5409071420111301,Delhi Capitals,Rajasthan Royals,0,0.040907142011130104
2023,2023-04-08,Mumbai Indians,Chennai Super Kings,0.6459118148282373,Chennai Super Kings,Chennai Super Kings,1,0.14591181482823734
2023,2023-04-09,Gujarat Titans,Kolkata Knight Riders,0.45931003840832496,Gujarat Titans,Kolkata Knight Riders,0,0.04068996159167504
2023,2023-04-09,Kings XI Punjab,Sunrisers Hyderabad,0.602175941983944,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0.10217594198394397
2023,2023-04-10,Royal Challengers Bengaluru,Lucknow Super Giants,0.5280209813886093,Lucknow Super Giants,Lucknow Super Giants,1,0.028020981388609312
2023,2023-04-11,Delhi Capitals,Mumbai Indians,0.6314720454711531,Mumbai Indians,Mumbai Indians,1,0.1314720454711531
2023,2023-04-12,Rajasthan Royals,Chennai Super Kings,0.5623539182620418,Chennai Super Kings,Rajasthan Royals,0,0.06235391826204184
2023,2023-04-13,Kings XI Punjab,Gujarat Titans,0.604913517437293,Gujarat Titans,Gujarat Titans,1,0.10491351743729305
2023,2023-04-14,Sunrisers Hyderabad,Kolkata Knight Riders,0.640472021781166,Kolkata Knight Riders,Sunrisers Hyderabad,0,0.14047202178116602
2023,2023-04-15,Royal Challengers Bengaluru,Delhi Capitals,0.5464836394483715,Delhi Capitals,Royal Challengers Bengaluru,0,0.04648363944837153
2023,2023-04-15,Lucknow Super Giants,Kings XI Punjab,0.6040767952065479,Kings XI Punjab,Kings XI Punjab,1,0.10407679520654789
2023,2023-04-16,Kolkata Knight Riders,Mumbai Indians,0.5831292446096934,Mumbai Indians,Mumbai Indians,1,0.0831292446096934
2023,2023-04-16,Gujarat Titans,Rajasthan Royals,0.541068264708904,Rajasthan Royals,Rajasthan Royals,1,0.04106826470890401
2023,2023-04-17,Chennai Super Kings,Royal Challengers Bengaluru,0.6108155526232277,Royal Challengers Bengaluru,Chennai Super Kings,0,0.11081555262322773
2023,2023-04-18,Mumbai Indians,Sunrisers Hyderabad,0.5679126358040059,Sunrisers Hyderabad,Mumbai Indians,0,0.06791263580400586
2023,2023-04-19,Lucknow Super Giants,Rajasthan Royals,0.5894061993250768,Rajasthan Royals,Lucknow Super Giants,0,0.08940619932507676
2023,2023-04-20,Royal Challengers Bengaluru,Kings XI Punjab,0.5114302777638731,Kings XI Punjab,Royal Challengers Bengaluru,0,0.011430277763873065
2023,2023-04-20,Kolkata Knight Riders,Delhi Capitals,0.6007379575150933,Delhi Capitals,Delhi Capitals,1,0.10073795751509329
2023,2023-04-21,Sunrisers Hyderabad,Chennai Super Kings,0.580993633132461,Chennai Super Kings,Chennai Super Kings,1,0.080993633132461
2023,2023-04-22,Gujarat Titans,Lucknow Super Giants,0.3481466362736784,Gujarat Titans,Gujarat Titans,1,0.15185336372632158
