batter,bowler,file_id,date,prior_balls,prior_runs,prior_dismissals,matchup_adv,matchup_adv_final
A Ashish Reddy,A Nehra,598044,2013-05-04,0,0,0,,0.4944444444444444
A Ashish Reddy,A Nehra,829773,2015-05-02,4,5,1,,0.9487179487179487
A Ashish Reddy,AB Dinda,598000,2013-04-05,0,0,0,,0.36403508771929827
A Ashish Reddy,AB Dinda,598018,2013-04-17,3,6,0,,0.19230769230769224
A Ashish Reddy,AD Mathews,598018,2013-04-17,0,0,0,,0.5
A Ashish Reddy,AD Mathews,829731,2015-04-18,8,13,0,,0.5
A Ashish Reddy,AD Russell,980915,2016-04-16,0,0,0,,0.5
A Ashish Reddy,Anureet Singh,829759,2015-04-27,0,0,0,,0.5
A Ashish Reddy,Azhar Mahmood,598021,2013-04-19,0,0,0,,0.868421052631579
A Ashish Reddy,B Kumar,598000,2013-04-05,0,0,0,,0.5
A Ashish Reddy,BW Hilfenhaus,548352,2012-05-04,0,0,0,,0.5
A Ashish Reddy,CH Morris,598030,2013-04-25,0,0,0,,0.5
A Ashish Reddy,CH Morris,829727,2015-04-16,4,10,0,,0.5
A Ashish Reddy,DJ Bravo,548352,2012-05-04,0,0,0,,0.0
A Ashish Reddy,DJ Bravo,598030,2013-04-25,1,1,0,,0.5
A Ashish Reddy,DJ Bravo,829773,2015-05-02,11,20,0,,0.033333333333333326
A Ashish Reddy,Harbhajan Singh,829815,2015-05-17,0,0,0,,0.7857142857142857
A Ashish Reddy,Imran Tahir,829731,2015-04-18,0,0,0,,0.5
A Ashish Reddy,J Botha,598044,2013-05-04,0,0,0,,0.25925925925925924
A Ashish Reddy,JEC Franklin,548346,2012-04-29,0,0,0,,0.5
A Ashish Reddy,JP Duminy,829731,2015-04-18,0,0,0,,0.5
A Ashish Reddy,JP Faulkner,598032,2013-04-27,0,0,0,,0.5
A Ashish Reddy,KA Pollard,829815,2015-05-17,0,0,0,,0.5
A Ashish Reddy,KK Cooper,598032,2013-04-27,0,0,0,,0.5
A Ashish Reddy,M Kartik,598004,2013-04-07,0,0,0,,0.5
A Ashish Reddy,M Morkel,598010,2013-04-12,0,0,0,,0.06140350877192968
A Ashish Reddy,M Morkel,980915,2016-04-16,4,4,1,,0.6104273504273504
A Ashish Reddy,MG Johnson,829759,2015-04-27,0,0,0,,0.04999999999999999
A Ashish Reddy,MM Patel,548346,2012-04-29,0,0,0,,0.21481481481481482
A Ashish Reddy,MM Sharma,598030,2013-04-25,0,0,0,,0.5
A Ashish Reddy,MR Marsh,598018,2013-04-17,0,0,0,,0.5
A Ashish Reddy,MS Gony,598021,2013-04-19,0,0,0,,0.5
A Ashish Reddy,NM Coulter-Nile,829731,2015-04-18,0,0,0,,0.5
A Ashish Reddy,P Awana,548359,2012-05-08,0,0,0,,0.5
A Ashish Reddy,P Kumar,548359,2012-05-08,0,0,0,,0.6349206349206349
A Ashish Reddy,PP Chawla,548359,2012-05-08,0,0,0,,0.0
A Ashish Reddy,PV Tambe,829727,2015-04-16,0,0,0,,0.5
A Ashish Reddy,Parvez Rasool,980907,2016-04-12,0,0,0,,0.5
A Ashish Reddy,R Vinay Kumar,548376,2012-05-20,0,0,0,,0.5916666666666667
A Ashish Reddy,R Vinay Kumar,598004,2013-04-07,4,4,1,,0.2391304347826087
A Ashish Reddy,R Vinay Kumar,598048,2013-04-09,8,12,2,,0.13666666666666671
A Ashish Reddy,RJ Peterson,548346,2012-04-29,0,0,0,,0.5
A Ashish Reddy,RP Singh,598048,2013-04-09,0,0,0,,0.11192810457516342
A Ashish Reddy,SL Malinga,829815,2015-05-17,0,0,0,,0.125968992248062
A Ashish Reddy,SMSM Senanayake,598013,2013-04-14,0,0,0,,0.5
A Ashish Reddy,SP Narine,598013,2013-04-14,0,0,0,,0.5
A Ashish Reddy,SR Watson,980907,2016-04-12,0,0,0,,0.0
A Ashish Reddy,SR Watson,980953,2016-04-30,2,1,1,,0.004273504273504203
A Ashish Reddy,STR Binny,598032,2013-04-27,0,0,0,,0.5
A Ashish Reddy,SW Tait,548373,2012-05-18,0,0,0,,0.5
A Ashish Reddy,Sandeep Sharma,829759,2015-04-27,0,0,0,,0.5
A Ashish Reddy,TG Southee,829727,2015-04-16,0,0,0,,0.5
A Ashish Reddy,UT Yadav,598010,2013-04-12,0,0,0,,0.5
A Ashish Reddy,UT Yadav,980915,2016-04-16,5,12,0,,0.5
A Ashish Reddy,YS Chahal,980907,2016-04-12,0,0,0,,0.6081081081081082
A Badoni,A Zampa,1473444,2025-03-27,0,0,0,,0.0
A Badoni,AD Russell,1304099,2022-05-07,0,0,0,,0.30303030303030304
A Badoni,AD Russell,1426292,2024-05-05,7,10,0,,0.0
A Badoni,AR Patel,1426264,2024-04-12,0,0,0,,0.3201058201058201
A Badoni,AR Patel,1473441,2025-03-24,7,8,0,,0.5
A Badoni,AS Joseph,1304103,2022-05-10,0,0,0,,0.5
A Badoni,Akash Madhwal,1370351,2023-05-24,0,0,0,,0.5
A Badoni,Arshdeep Singh,1359495,2023-04-15,0,0,0,,0.5
A Badoni,Arshdeep Singh,1422129,2024-03-30,2,1,0,,0.29166666666666663
A Badoni,Arshdeep Singh,1473450,2025-04-01,4,3,0,,0.4733333333333334
A Badoni,Arshdeep Singh,1473491,2025-05-04,7,8,1,,0.2235042735042735
A Badoni,Ashwani Kumar,1473453,2025-04-04,0,0,0,,0.5
A Badoni,Avesh Khan,1426282,2024-04-27,0,0,0,,0.49242424242424243
A Badoni,Azmatullah Omarzai,1473491,2025-05-04,0,0,0,,0.5
A Badoni,B Kumar,1304058,2022-04-04,0,0,0,,0.7442868400315209
A Badoni,B Kumar,1426295,2024-05-08,1,1,0,,0.5212620027434842
A Badoni,C Bosch,1473482,2025-04-27,0,0,0,,0.5
A Badoni,C Sakariya,1359477,2023-04-01,0,0,0,,0.12365591397849451
A Badoni,CV Varun,1359542,2023-05-20,0,0,0,,0.21111111111111108
A Badoni,CV Varun,1426266,2024-04-14,8,4,0,,0.2682863113897596
A Badoni,DG Nalkande,1422139,2024-04-07,0,0,0,,0.5
A Badoni,DJ Bravo,1304053,2022-03-31,0,0,0,,0.3235294117647059
A Badoni,DJ Willey,1359489,2023-04-10,0,0,0,,0.5
A Badoni,DL Chahar,1359480,2023-04-03,0,0,0,,1.0
A Badoni,DL Chahar,1359519,2023-05-03,1,1,0,,0.5
A Badoni,DL Chahar,1473453,2025-04-04,7,21,0,,0.9444444444444444
A Badoni,E Malinga,1473499,2025-05-19,0,0,0,,0.5
A Badoni,G Coetzee,1426286,2024-04-30,0,0,0,,0.5
A Badoni,GJ Maxwell,1304077,2022-04-19,0,0,0,,0.39583333333333337
A Badoni,GJ Maxwell,1359517,2023-05-01,1,1,0,,0.0
A Badoni,GJ Maxwell,1473450,2025-04-01,4,3,0,,0.0
A Badoni,Gurnoor Brar,1359512,2023-04-28,0,0,0,,0.5
A Badoni,HH Pandya,1304050,2022-03-28,0,0,0,,0.5
A Badoni,HH Pandya,1426286,2024-04-30,10,18,0,,1.0
A Badoni,HH Pandya,1473453,2025-04-04,11,19,1,,1.0
A Badoni,HH Pandya,1473482,2025-04-27,13,19,1,0.0,0.0
A Badoni,HV Patel,1359489,2023-04-10,0,0,0,,0.5
A Badoni,HV Patel,1473499,2025-05-19,5,4,0,,1.0
A Badoni,Harpreet Brar,1422129,2024-03-30,0,0,0,,0.5
A Badoni,Harshit Rana,1426266,2024-04-14,0,0,0,,0.5
A Badoni,I Sharma,1426264,2024-04-12,0,0,0,,0.5555555555555556
A Badoni,I Sharma,1426302,2024-05-14,6,7,0,,0.6488095238095237
A Badoni,J Overton,1473467,2025-04-14,0,0,0,,0.5
A Badoni,JD Unadkat,1304083,2022-04-24,0,0,0,,0.25681341719077566
A Badoni,JD Unadkat,1426295,2024-05-08,2,2,0,,0.1140350877192981
A Badoni,JJ Bumrah,1304083,2022-04-24,0,0,0,,0.8072390572390573
A Badoni,JO Holder,1359500,2023-04-19,0,0,0,,0.5
A Badoni,JR Hazlewood,1304077,2022-04-19,0,0,0,,1.0
A Badoni,JR Hazlewood,1359517,2023-05-01,2,2,1,,0.4885057471264367
A Badoni,K Rabada,1304088,2022-04-29,0,0,0,,0.7481869184455392
A Badoni,K Rabada,1359512,2023-04-28,4,4,1,,0.281045751633987
A Badoni,KK Ahmed,1359477,2023-04-01,0,0,0,,0.3980246913580247
A Badoni,KK Ahmed,1426264,2024-04-12,3,5,0,,0.28571428571428575
A Badoni,KR Sen,1304066,2022-04-10,0,0,0,,0.5
