file_id,matchup_advantage_bf,matchup_advantage_diff
1426295,0.4824,-0.0176
1216518,0.4915,-0.0085
729297,0.5812,0.0812
392199,0.5024,0.0024
1178409,0.3299,-0.1701
501233,0.449,-0.051
1178426,0.3797,-0.1203
1136616,0.4957,-0.0043
1422125,0.527,0.027
1216495,0.4034,-0.0966
1254117,0.6076,0.1076
1082593,0.4111,-0.0889
829807,0.4639,-0.0361
980991,0.4354,-0.0646
392211,0.5023,0.0023
1473502,0.4478,-0.0522
1426299,0.4375,-0.0625
548378,0.599,0.099
336024,0.5887,0.0887
548327,0.5843,0.0843
734029,0.6076,0.1076
548346,0.3927,-0.1073
734019,0.5,0.0
980981,0.5447,0.0447
1359520,0.3996,-0.1004
1359512,0.453,-0.047
392202,0.4237,-0.0763
1304073,0.465,-0.035
1216547,0.5049,0.0049
981019,0.4746,-0.0254
980955,0.5075,0.0075
1216537,0.57,0.07
829791,0.494,-0.006
501249,0.4912,-0.0088
1216539,0.4486,-0.0514
1254084,0.5764,0.0764
1473468,0.4025,-0.0975
1254095,0.4031,-0.0969
501263,0.4285,-0.0715
336040,0.4791,-0.0209
392209,0.6454,0.1454
734015,0.5282,0.0282
1178396,0.4275,-0.0725
1082603,0.438,-0.062
1304052,0.5165,0.0165
1485779,0.3541,-0.1459
1216528,0.5374,0.0374
1304088,0.5397,0.0397
1304108,0.5453,0.0453
392223,0.6401,0.1401
829803,0.4108,-0.0892
980909,0.5432,0.0432
1216536,0.5313,0.0313
1254109,0.5972,0.0972
1359503,0.5237,0.0237
980959,0.4112,-0.0888
1359481,0.5699,0.0699
419138,0.5279,0.0279
501234,0.4878,-0.0122
1136585,0.59,0.09
1216497,0.4956,-0.0044
548316,0.4895,-0.0105
734037,0.4675,-0.0325
501242,0.5102,0.0102
729313,0.5,0.0
829723,0.5422,0.0422
1304071,0.4311,-0.0689
1426278,0.5569,0.0569
1082598,0.3915,-0.1085
1254058,0.5122,0.0122
598043,0.4435,-0.0565
548329,0.4953,-0.0047
548344,0.5264,0.0264
980937,0.3862,-0.1138
1216508,0.5759,0.0759
1254083,0.5745,0.0745
729287,0.5023,0.0023
1136584,0.4979,-0.0021
1082636,0.4505,-0.0495
419137,0.5039,0.0039
501204,0.4367,-0.0633
548325,0.5052,0.0052
598022,0.4576,-0.0424
1254102,0.5564,0.0564
1082600,0.5478,0.0478
1359513,0.5307,0.0307
1359518,0.5444,0.0444
392198,0.4251,-0.0749
419130,0.6454,0.1454
1359508,0.4507,-0.0493
501222,0.6365,0.1365
419133,0.3823,-0.1177
1216511,0.5093,0.0093
1426290,0.4556,-0.0444
392197,0.5851,0.0851
980987,0.5753,0.0753
548369,0.599,0.099
1473444,0.4201,-0.0799
598066,0.5487,0.0487
1136573,0.4741,-0.0259
336014,0.6188,0.1188
1082642,0.4497,-0.0503
1473491,0.5,0.0
501206,0.5491,0.0491
1304055,0.538,0.038
501240,0.493,-0.007
501252,0.5709,0.0709
548309,0.6879,0.1879
1216499,0.4124,-0.0876
1426272,0.5293,0.0293
1473441,0.5355,0.0355
1082597,0.5155,0.0155
548331,0.5079,0.0079
598070,0.5115,0.0115
1216515,0.5367,0.0367
1082602,0.5784,0.0784
1426310,0.4118,-0.0882
733973,0.6022,0.1022
501253,0.6587,0.1587
1082610,0.4718,-0.0282
1426262,0.4927,-0.0073
981015,0.4398,-0.0602
1359524,0.5058,0.0058
598065,0.4892,-0.0108
1178405,0.4004,-0.0996
598023,0.6295,0.1295
1359490,0.5952,0.0952
336018,0.4791,-0.0209
1136592,0.4744,-0.0256
598048,0.513,0.013
392232,0.5279,0.0279
1082601,0.4811,-0.0189
419162,0.5035,0.0035
1304081,0.6133,0.1133
1359525,0.4573,-0.0427
1136581,0.4067,-0.0933
1254070,0.3595,-0.1405
1359528,0.4758,-0.0242
734009,0.4746,-0.0254
1473446,0.5662,0.0662
1473482,0.39,-0.11
1473483,0.4971,-0.0029
1178404,0.521,0.021
335988,0.4937,-0.0063
392224,0.5035,0.0035
1178423,0.5285,0.0285
598019,0.5788,0.0788
392208,0.448,-0.052
1136589,0.4434,-0.0566
501245,0.5137,0.0137
981007,0.436,-0.064
1175369,0.4551,-0.0449
1082626,0.3558,-0.1442
1426298,0.5814,0.0814
733999,0.5062,0.0062
1473484,0.4766,-0.0234
1473453,0.5603,0.0603
1370350,0.5055,0.0055
501260,0.5543,0.0543
1426291,0.4158,-0.0842
392191,0.5185,0.0185
980919,0.4628,-0.0372
1312199,0.421,-0.079
1178430,0.5985,0.0985
336031,0.4933,-0.0067
419107,0.501,0.001
419115,0.4799,-0.0201
336034,0.5557,0.0557
1216524,0.3929,-0.1071
1359542,0.2983,-0.2017
829725,0.6462,0.1462
392185,0.5071,0.0071
980953,0.5086,0.0086
336019,0.48,-0.02
336012,0.4729,-0.0271
501215,0.4344,-0.0656
598059,0.5931,0.0931
1136562,0.473,-0.027
981013,0.5369,0.0369
1237177,0.4445,-0.0555
1473458,0.588,0.088
733997,0.5059,0.0059
1473440,0.5132,0.0132
1254091,0.5525,0.0525
729289,0.4584,-0.0416
829737,0.4868,-0.0132
1426273,0.4702,-0.0298
1426303,0.5061,0.0061
1304106,0.4986,-0.0014
1370351,0.5896,0.0896
419161,0.59,0.09
1254100,0.4418,-0.0582
829797,0.5442,0.0442
1254115,0.5047,0.0047
1304051,0.506,0.006
1304114,0.494,-0.006
734041,0.5747,0.0747
1082618,0.5383,0.0383
1178398,0.5185,0.0185
1136611,0.4525,-0.0475
1082622,0.4611,-0.0389
336015,0.5514,0.0514
548345,0.4841,-0.0159
734049,0.4759,-0.0241
1473505,0.4114,-0.0886
1216531,0.6554,0.1554
1473487,0.354,-0.146
1473506,0.5401,0.0401
419134,0.5012,0.0012
548358,0.5552,0.0552
598061,0.4977,-0.0023
1426281,0.6101,0.1101
336025,0.4822,-0.0178
392206,0.4873,-0.0127
1178410,0.4798,-0.0202
335984,0.4729,-0.0271
1237180,0.4878,-0.0122
1359522,0.5157,0.0157
419118,0.5441,0.0441
1304047,0.4254,-0.0746
980941,0.3845,-0.1155
598031,0.4824,-0.0176
829731,0.46,-0.04
729295,0.5196,0.0196
1304113,0.5103,0.0103
1254063,0.5103,0.0103
419128,0.5267,0.0267
1304082,0.3768,-0.1232
501229,0.4941,-0.0059
1426266,0.3797,-0.1203
1254060,0.4482,-0.0518
1426309,0.4643,-0.0357
392218,0.5464,0.0464
1473460,0.4529,-0.0471
729301,0.6067,0.1067
598036,0.5261,0.0261
733985,0.4631,-0.0369
981005,0.4067,-0.0933
1136602,0.3574,-0.1426
1359505,0.5458,0.0458
1422139,0.474,-0.026
829799,0.5136,0.0136
1254113,0.544,0.044
1473454,0.4686,-0.0314
598057,0.5105,0.0105
501208,0.4842,-0.0158
829759,0.4804,-0.0196
1254108,0.602,0.102
1359478,0.4974,-0.0026
548353,0.5088,0.0088
598040,0.5052,0.0052
980977,0.4603,-0.0397
1178422,0.679,0.179
829817,0.4894,-0.0106
1426300,0.4905,-0.0095
1082628,0.587,0.087
