file_id,date,season,venue,team,player,role,was_used,balls_bowled,runs_conceded,wickets,economy,balls_faced,runs_scored
1359475,2023-03-31,2023,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,RS Hangargekar,bowl,True,25,36,3,8.64,0,0
1359475,2023-03-31,2023,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,AS Joseph,bowl,True,24,33,2,8.25,0,0
1359476,2023-04-01,2023,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,R Dhawan,bowl,True,6,15,0,15.0,0,0
1359476,2023-04-01,2023,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kolkata Knight Riders,CV Varun,bowl,True,24,27,1,6.75,0,0
1359477,2023-04-01,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,MA Wood,bowl,True,25,14,5,3.36,0,0
1359477,2023-04-01,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Delhi Capitals,Mukesh Kumar,bowl+bat,True,24,34,0,8.5,1,0
1359478,2023-04-02,2023,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,YS Chahal,bowl,True,24,17,4,4.25,0,0
1359478,2023-04-02,2023,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,T Natarajan,bowl,True,18,27,2,9.0,0,0
1359479,2023-04-02,2023,"M Chinnaswamy Stadium, Bengaluru",Mumbai Indians,JC Archer,bowl,True,24,33,0,8.25,0,0
1359480,2023-04-03,2023,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,RS Hangargekar,bowl,True,12,24,0,12.0,0,0
1359480,2023-04-03,2023,"MA Chidambaram Stadium, Chepauk, Chennai",Lucknow Super Giants,Ravi Bishnoi,bowl,True,24,28,3,7.0,0,0
1359481,2023-04-04,2023,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Mukesh Kumar,bowl,True,24,42,0,10.5,0,0
1359481,2023-04-04,2023,"Arun Jaitley Stadium, Delhi",Gujarat Titans,Mohammed Shami,bowl,True,24,41,3,10.25,0,0
1359482,2023-04-05,2023,"Barsapara Cricket Stadium, Guwahati",Punjab Kings,R Dhawan,none,False,0,0,0,,0,0
1359482,2023-04-05,2023,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,KM Asif,bowl,True,25,55,0,13.2,0,0
1359483,2023-04-06,2023,"Eden Gardens, Kolkata",Kolkata Knight Riders,CV Varun,bowl,True,22,16,4,4.36,0,0
1359483,2023-04-06,2023,"Eden Gardens, Kolkata",Royal Challengers Bangalore,Akash Deep,bowl+bat,True,14,34,0,14.57,8,17
1359484,2023-04-07,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,T Natarajan,bowl,True,18,24,0,8.0,0,0
1359484,2023-04-07,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,A Badoni,none,False,0,0,0,,0,0
1359485,2023-04-08,2023,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Sandeep Sharma,bowl,True,24,20,1,5.0,0,0
1359485,2023-04-08,2023,"Barsapara Cricket Stadium, Guwahati",Delhi Capitals,Mukesh Kumar,bowl+bat,True,24,37,2,9.25,1,1
