file_id,match_number,season,date,venue,city,team1,team2,toss_winner,toss_decision,toss_winner_won,winner,win_by_runs,win_by_wickets,player_of_match,team1_players,team2_players,inn1_team,inn1_runs,inn1_wickets,inn2_team,inn2_runs,inn2_wickets
1082591,1.0,2017,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,0.0,Sunrisers Hyderabad,35.0,,Yuvraj Singh,DA Warner|S Dhawan|MC Henriques|Yuvraj Singh|DJ Hooda|BCJ Cutting|NV Ojha|Bipul Sharma|B Kumar|A Nehra|Rashid Khan,CH Gayle|Mandeep Singh|TM Head|KM Jadhav|SR Watson|Sachin Baby|STR Binny|S Aravind|TS Mills|YS Chahal|A Choudhary,Sunrisers Hyderabad,207,4,Royal Challengers Bangalore,172.0,10.0
1082592,2.0,2017,2017-04-06,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,1.0,Rising Pune Supergiant,,7.0,SPD Smith,AM Rahane|MA Agarwal|SPD Smith|BA Stokes|MS Dhoni|MK Tiwary|R Bhatia|DL Chahar|A Zampa|AB Dinda|Imran Tahir,PA Patel|JC Buttler|RG Sharma|N Rana|AT Rayudu|KH Pandya|KA Pollard|HH Pandya|TG Southee|MJ McClenaghan|JJ Bumrah,Mumbai Indians,184,8,Rising Pune Supergiant,187.0,3.0
1082593,3.0,2017,2017-04-07,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,1.0,Kolkata Knight Riders,,10.0,CA Lynn,JJ Roy|BB McCullum|SK Raina|AJ Finch|KD Karthik|DR Smith|MS Gony|P Kumar|SB Jakati|DS Kulkarni|S Kaushik,G Gambhir|CA Lynn|RV Uthappa|MK Pandey|YK Pathan|SA Yadav|CR Woakes|PP Chawla|Kuldeep Yadav|SP Narine|TA Boult,Gujarat Lions,183,4,Kolkata Knight Riders,184.0,0.0
1082594,4.0,2017,2017-04-08,Holkar Cricket Stadium,Indore,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,1.0,Kings XI Punjab,,6.0,GJ Maxwell,HM Amla|M Vohra|WP Saha|AR Patel|GJ Maxwell|DA Miller|MP Stoinis|Swapnil Singh|MM Sharma|Sandeep Sharma|T Natarajan,AM Rahane|MA Agarwal|SPD Smith|BA Stokes|MS Dhoni|MK Tiwary|DT Christian|R Bhatia|RD Chahar|Imran Tahir|AB Dinda,Rising Pune Supergiant,163,6,Kings XI Punjab,164.0,4.0
1082595,5.0,2017,2017-04-08,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,1.0,Royal Challengers Bangalore,15.0,,KM Jadhav,CH Gayle|SR Watson|Mandeep Singh|KM Jadhav|STR Binny|Vishnu Vinod|P Negi|Iqbal Abdulla|TS Mills|YS Chahal|B Stanlake,AP Tare|SW Billings|KK Nair|SV Samson|RR Pant|CH Morris|CR Brathwaite|PJ Cummins|A Mishra|S Nadeem|Z Khan,Royal Challengers Bangalore,157,8,Delhi Daredevils,142.0,9.0
1082596,6.0,2017,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,1.0,Sunrisers Hyderabad,,9.0,Rashid Khan,DA Warner|S Dhawan|MC Henriques|Yuvraj Singh|DJ Hooda|BCJ Cutting|NV Ojha|Bipul Sharma|B Kumar|A Nehra|Rashid Khan,JJ Roy|BB McCullum|SK Raina|AJ Finch|KD Karthik|DR Smith|DS Kulkarni|P Kumar|Basil Thampi|Tejas Baroka|S Kaushik,Gujarat Lions,135,7,Sunrisers Hyderabad,140.0,1.0
1082597,7.0,2017,2017-04-09,Wankhede Stadium,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,1.0,Mumbai Indians,,4.0,N Rana,PA Patel|JC Buttler|N Rana|RG Sharma|KH Pandya|KA Pollard|HH Pandya|Harbhajan Singh|MJ McClenaghan|SL Malinga|JJ Bumrah,G Gambhir|CA Lynn|RV Uthappa|MK Pandey|YK Pathan|SA Yadav|CR Woakes|SP Narine|Kuldeep Yadav|AS Rajpoot|TA Boult,Kolkata Knight Riders,178,7,Mumbai Indians,180.0,6.0
1082598,8.0,2017,2017-04-10,Holkar Cricket Stadium,Indore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,0.0,Kings XI Punjab,,8.0,AR Patel,M Vohra|HM Amla|AR Patel|GJ Maxwell|WP Saha|DA Miller|MP Stoinis|MM Sharma|Sandeep Sharma|VR Aaron|T Natarajan,SR Watson|Vishnu Vinod|AB de Villiers|KM Jadhav|Mandeep Singh|STR Binny|P Negi|Iqbal Abdulla|TS Mills|B Stanlake|YS Chahal,Royal Challengers Bangalore,148,4,Kings XI Punjab,150.0,2.0
1082599,9.0,2017,2017-04-11,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,field,0.0,Delhi Daredevils,97.0,,SV Samson,AM Rahane|MA Agarwal|F du Plessis|RA Tripathi|BA Stokes|MS Dhoni|R Bhatia|DL Chahar|A Zampa|AB Dinda|Imran Tahir,AP Tare|SW Billings|SV Samson|RR Pant|CJ Anderson|CH Morris|KK Nair|PJ Cummins|A Mishra|Z Khan|S Nadeem,Delhi Daredevils,205,4,Rising Pune Supergiant,108.0,10.0
1082600,10.0,2017,2017-04-12,Wankhede Stadium,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,1.0,Mumbai Indians,,4.0,JJ Bumrah,PA Patel|JC Buttler|RG Sharma|N Rana|KA Pollard|KH Pandya|HH Pandya|Harbhajan Singh|MJ McClenaghan|SL Malinga|JJ Bumrah,S Dhawan|DA Warner|DJ Hooda|Yuvraj Singh|BCJ Cutting|NV Ojha|V Shankar|Rashid Khan|B Kumar|A Nehra|Mustafizur Rahman,Sunrisers Hyderabad,158,8,Mumbai Indians,159.0,6.0
