season,date,team1,team2,prob_team1,predicted_winner,actual_winner,correct,confidence
2023,2023-03-31,Chennai Super Kings,Gujarat Titans,0.4721630811691284,Gujarat Titans,Gujarat Titans,1,0.027836918830871582
2023,2023-04-01,Kings XI Punjab,Kolkata Knight Riders,0.4872225522994995,Kolkata Knight Riders,Kings XI Punjab,0,0.012777447700500488
2023,2023-04-01,Lucknow Super Giants,Delhi Capitals,0.48285260796546936,Delhi Capitals,Lucknow Super Giants,0,0.01714739203453064
2023,2023-04-02,Rajasthan Royals,Sunrisers Hyderabad,0.42253366112709045,Sunrisers Hyderabad,Rajasthan Royals,0,0.07746633887290955
2023,2023-04-02,Mumbai Indians,Royal Challengers Bengaluru,0.4751529097557068,Royal Challengers Bengaluru,Royal Challengers Bengaluru,1,0.024847090244293213
2023,2023-04-03,Chennai Super Kings,Lucknow Super Giants,0.5113089680671692,Chennai Super Kings,Chennai Super Kings,1,0.01130896806716919
2023,2023-04-04,Delhi Capitals,Gujarat Titans,0.48517894744873047,Gujarat Titans,Gujarat Titans,1,0.014821052551269531
2023,2023-04-05,Kings XI Punjab,Rajasthan Royals,0.48517894744873047,Rajasthan Royals,Kings XI Punjab,0,0.014821052551269531
2023,2023-04-06,Kolkata Knight Riders,Royal Challengers Bengaluru,0.4860135316848755,Royal Challengers Bengaluru,Kolkata Knight Riders,0,0.013986468315124512
2023,2023-04-07,Sunrisers Hyderabad,Lucknow Super Giants,0.5234376192092896,Sunrisers Hyderabad,Lucknow Super Giants,0,0.02343761920928955
2023,2023-04-08,Rajasthan Royals,Delhi Capitals,0.4930683970451355,Delhi Capitals,Rajasthan Royals,0,0.006931602954864502
2023,2023-04-08,Mumbai Indians,Chennai Super Kings,0.4844230115413666,Chennai Super Kings,Chennai Super Kings,1,0.015576988458633423
2023,2023-04-09,Gujarat Titans,Kolkata Knight Riders,0.4929485619068146,Kolkata Knight Riders,Kolkata Knight Riders,1,0.007051438093185425
2023,2023-04-09,Kings XI Punjab,Sunrisers Hyderabad,0.3962286114692688,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0.1037713885307312
2023,2023-04-10,Royal Challengers Bengaluru,Lucknow Super Giants,0.5163143873214722,Royal Challengers Bengaluru,Lucknow Super Giants,0,0.016314387321472168
2023,2023-04-11,Delhi Capitals,Mumbai Indians,0.4248626232147217,Mumbai Indians,Mumbai Indians,1,0.07513737678527832
2023,2023-04-12,Rajasthan Royals,Chennai Super Kings,0.5214731693267822,Rajasthan Royals,Rajasthan Royals,1,0.021473169326782227
2023,2023-04-13,Kings XI Punjab,Gujarat Titans,0.4860135316848755,Gujarat Titans,Gujarat Titans,1,0.013986468315124512
2023,2023-04-14,Sunrisers Hyderabad,Kolkata Knight Riders,0.48517894744873047,Kolkata Knight Riders,Sunrisers Hyderabad,0,0.014821052551269531
