file_id,innings,max_partnership,total_partnerships,avg_partnership,partnerships_50plus,partnerships_100plus
1082591,1,74,5,41.4,2,0
1082591,2,56,10,17.2,2,0
1082592,1,45,9,20.444444444444443,0,0
1082592,2,58,4,46.75,2,0
1082593,1,87,5,36.6,2,0
1082593,2,184,1,184.0,1,1
1082594,1,61,7,23.285714285714285,1,0
1082594,2,79,5,32.8,1,0
1082595,1,66,8,19.625,1,0
1082595,2,33,10,14.2,0,0
1082596,1,56,8,16.875,1,0
1082596,2,108,2,70.0,1,1
1082597,1,44,7,25.428571428571427,0,0
1082597,2,65,7,25.714285714285715,1,0
1082598,1,80,5,29.6,1,0
1082598,2,72,3,50.0,2,0
1082599,1,69,5,41.0,2,0
1082599,2,25,10,10.8,0,0
1082600,1,81,9,17.555555555555557,1,0
1082600,2,38,7,22.714285714285715,0,0
1082601,1,57,9,18.88888888888889,2,0
1082601,2,76,3,57.0,2,0
1082602,1,63,6,23.666666666666668,1,0
1082602,2,93,7,20.714285714285715,1,0
1082603,1,64,9,19.0,1,0
1082603,2,94,4,43.0,2,0
1082604,1,77,7,24.571428571428573,1,0
1082604,2,46,7,22.142857142857142,0,0
1082605,1,53,7,26.857142857142858,1,0
1082605,2,45,9,15.222222222222221,0,0
1082606,1,80,5,35.2,2,0
1082606,2,85,5,35.4,2,0
1082607,1,63,8,20.125,2,0
1082607,2,29,10,13.4,0,0
1082608,1,53,8,21.0,1,0
1082608,2,110,7,24.142857142857142,1,1
1082609,1,60,7,22.714285714285715,1,0
1082609,2,45,10,15.4,0,0
1082610,1,122,3,71.0,2,1
1082610,2,66,8,24.0,1,0
1082611,1,136,5,38.2,1,1
1082611,2,71,6,29.333333333333332,2,0
1082612,1,83,5,39.6,1,0
1082612,2,85,3,66.33333333333333,2,0
1082613,1,69,6,31.166666666666668,2,0
1082613,2,58,7,26.857142857142858,1,0
1082614,1,37,9,15.777777777777779,0,0
1082614,2,91,8,16.0,1,0
1082615,1,55,4,44.0,1,0
1082615,2,72,5,35.8,2,0
1082616,1,70,7,26.857142857142858,1,0
1082616,2,40,8,20.25,0,0
1082617,1,48,10,13.1,0,0
1082617,2,16,10,4.9,0,0
1082618,1,76,7,22.857142857142858,1,0
1082618,2,36,9,17.444444444444443,0,0
1082620,1,65,5,36.4,1,0
1082620,2,158,4,46.0,1,1
1082621,1,40,10,13.4,0,0
1082621,2,92,4,33.75,1,0
1082622,1,75,7,22.857142857142858,1,0
1082622,2,108,4,40.25,1,1
1082623,1,107,4,51.75,1,1
1082623,2,73,9,20.11111111111111,1,0
1082624,1,50,4,39.25,1,0
1082624,2,21,10,9.6,0,0
1082625,1,43,10,15.3,0,0
1082625,2,43,10,15.3,0,0
1082626,1,26,10,6.7,0,0
1082626,2,68,1,68.0,1,0
1082627,1,139,3,69.66666666666667,1,1
1082627,2,78,7,23.0,1,0
1082628,1,54,8,20.25,1,0
1082628,2,61,7,23.571428571428573,1,0
1082629,1,55,10,16.1,1,0
1082629,2,76,6,27.833333333333332,1,0
