full_name,data_name,team_2026,role,home_venue,career_bat_innings,career_runs,career_balls_faced,career_bat_avg,career_bat_sr,career_fours,career_sixes,career_bowl_innings,career_balls_bowled,career_wickets,career_runs_conceded,career_econ,career_bowl_sr,form5_bat_innings,form5_runs,form5_bat_avg,form5_bat_sr,form5_boundary_pct,form5_bowl_innings,form5_wickets,form5_econ,form5_bowl_sr,form5_bowl_dot_pct,recent_bat_innings,recent_runs,recent_bat_avg,recent_bat_sr,recent_bowl_innings,recent_wickets,recent_econ,recent_bowl_sr,bat_score,bowl_score,overall_score
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"MA Chidambaram Stadium, Chennai",70,2502,1820,35.74,137.47,231,95,,,,,,,5,122,24.4,150.62,22.2,,,,,,34,1295,38.09,144.85,,,,,89.7,0.0,71.8
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"MA Chidambaram Stadium, Chennai",241,5439,3957,22.57,137.45,375,264,,,,,,,5,62,12.4,108.77,10.5,,,,,,36,461,12.81,167.64,,,,,66.5,0.0,53.2
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"MA Chidambaram Stadium, Chennai",171,4704,3383,27.51,139.05,379,219,,,,,,,5,148,29.6,130.97,16.8,,,,,,38,1178,31.0,150.06,,,,,83.9,0.0,67.1
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"MA Chidambaram Stadium, Chennai",16,455,297,28.44,153.2,30,33,1,3,1,8,16.0,3.0,5,183,36.6,183.0,25.0,1,1,16.0,3.0,33.3,9,294,32.67,159.78,,,,,95.6,0.0,76.5
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"MA Chidambaram Stadium, Chennai",7,240,127,34.29,188.98,31,11,,,,,,,5,178,35.6,191.4,32.3,,,,,,7,240,34.29,188.98,,,,,106.6,0.0,85.3
Kartik Sharma,Kartik Sharma,Chennai Super Kings,wk-batter,"MA Chidambaram Stadium, Chennai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,4.0
Sarfaraz Khan,Sarfaraz Khan,Chennai Super Kings,batter,"MA Chidambaram Stadium, Chennai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,4.0
Urvil Patel,Urvil Patel,Chennai Super Kings,wk-batter,"MA Chidambaram Stadium, Chennai",3,68,32,22.67,212.5,5,6,,,,,,,3,68,22.67,212.5,34.4,,,,,,3,68,22.67,212.5,,,,,5.0,0.0,4.0
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"MA Chidambaram Stadium, Chennai",75,1859,1294,24.79,143.66,108,122,15,124,6,223,10.79,20.7,5,115,23.0,129.21,14.6,5,1,15.0,42.0,7.1,42,1171,27.88,150.51,2,1,15.67,18.0,79.2,9.5,44.4
Jamie Overton,J Overton,Chennai Super Kings,all-rounder,"MA Chidambaram Stadium, Chennai",2,15,7,7.5,214.29,1,1,3,36,0,84,14.0,,2,15,7.5,214.29,28.6,3,0,14.0,,25.0,2,15,7.5,214.29,3,0,14.0,,5.0,0.0,2.5
Ramakrishna Ghosh,Ramakrishna Ghosh,Chennai Super Kings,all-rounder,"MA Chidambaram Stadium, Chennai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,2.5
Prashant Veer,Prashant Veer,Chennai Super Kings,all-rounder,"MA Chidambaram Stadium, Chennai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,2.5
Matthew Short,MW Short,Chennai Super Kings,all-rounder,"MA Chidambaram Stadium, Chennai",6,117,92,19.5,127.17,15,4,3,24,0,25,6.25,,5,116,23.2,130.34,21.3,3,0,6.25,,45.8,6,117,19.5,127.17,3,0,6.25,,68.5,0.0,34.2
Aman Khan,Aman Khan,Chennai Super Kings,all-rounder,"MA Chidambaram Stadium, Chennai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,2.5
Zak Foulkes,Z Foulkes,Chennai Super Kings,all-rounder,"MA Chidambaram Stadium, Chennai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,2.5
Anshul Kamboj,A Kamboj,Chennai Super Kings,bowler,"MA Chidambaram Stadium, Chennai",6,16,14,2.67,114.29,2,0,11,189,10,288,9.14,18.9,5,14,2.8,116.67,16.7,5,5,8.74,16.2,37.0,6,16,2.67,114.29,11,10,9.14,18.9,41.7,35.7,36.9
Khaleel Ahmed,KK Ahmed,Chennai Super Kings,bowler,"MA Chidambaram Stadium, Chennai",6,2,9,0.33,22.22,0,0,71,1556,94,2372,9.15,16.6,5,2,0.4,25.0,0.0,5,3,11.05,29.3,46.6,1,1,1.0,50.0,37,43,9.69,18.1,12.2,30.8,27.1
Noor Ahmad,Noor Ahmad,Chennai Super Kings,bowler,"MA Chidambaram Stadium, Chennai",11,20,35,1.82,57.14,2,0,37,792,48,1088,8.24,16.5,5,7,1.4,46.67,0.0,5,10,8.53,11.4,35.1,11,20,1.82,57.14,37,48,8.24,16.5,20.1,58.6,50.9
Mukesh Choudhary,Mukesh Choudhary,Chennai Super Kings,bowler,"MA Chidambaram Stadium, Chennai",2,6,6,3.0,100.0,1,0,16,315,17,523,9.96,18.5,2,6,3.0,100.0,16.7,5,1,11.93,84.0,31.0,,,,,3,1,14.0,42.0,5.0,13.0,11.4
Nathan Ellis,NT Ellis,Chennai Super Kings,bowler,"MA Chidambaram Stadium, Chennai",5,19,25,3.8,76.0,0,1,17,378,20,553,8.78,18.9,5,19,3.8,76.0,4.0,5,5,8.45,24.0,29.2,2,1,0.5,14.29,12,15,8.8,18.4,20.2,45.2,40.2
Shreyas Gopal,S Gopal,Chennai Super Kings,bowler,"MA Chidambaram Stadium, Chennai",22,180,169,8.18,106.51,19,2,51,991,53,1358,8.22,18.7,5,45,9.0,115.38,15.4,5,4,10.0,16.5,28.8,,,,,3,3,9.57,14.0,47.7,32.6,35.6
Gurjapneet Singh,Gurjapneet Singh,Chennai Super Kings,bowler,"MA Chidambaram Stadium, Chennai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,1.0
Akeal Hosein,AJ Hosein,Chennai Super Kings,bowler,"MA Chidambaram Stadium, Chennai",1,16,10,16.0,160.0,1,1,1,24,1,41,10.25,24.0,1,16,16.0,160.0,20.0,1,1,10.25,24.0,20.8,1,16,16.0,160.0,1,1,10.25,24.0,5.0,0.0,1.0
Matt Henry,MJ Henry,Chennai Super Kings,bowler,"MA Chidambaram Stadium, Chennai",,,,,,,,6,102,3,183,10.76,34.0,,,,,,5,1,10.86,84.0,31.0,,,,,4,1,9.33,72.0,5.0,11.1,9.9
Rahul Chahar,RD Chahar,Chennai Super Kings,bowler,"MA Chidambaram Stadium, Chennai",22,129,124,5.86,104.03,13,5,78,1670,76,2174,7.81,22.0,5,46,9.2,95.83,14.6,5,5,9.25,19.2,33.3,4,21,5.25,87.5,24,18,8.29,27.2,39.9,41.9,41.5
Ajinkya Rahane,AM Rahane,Kolkata Knight Riders,batter,"Eden Gardens, Kolkata",183,5032,4025,27.5,125.02,515,123,1,6,1,5,5.0,6.0,5,169,33.8,146.96,20.0,1,1,5.0,6.0,33.3,35,958,27.37,147.61,,,,,83.6,0.0,66.9
Angkrish Raghuvanshi,A Raghuvanshi,Kolkata Knight Riders,batter,"Eden Gardens, Kolkata",18,463,320,25.72,144.69,46,16,,,,,,,5,130,26.0,135.42,15.6,,,,,,18,463,25.72,144.69,,,,,79.6,0.0,63.7
Manish Pandey,MK Pandey,Kolkata Knight Riders,batter,"Eden Gardens, Kolkata",161,3942,3244,24.48,121.52,340,115,,,,,,,5,134,26.8,135.35,14.1,,,,,,13,294,22.62,121.49,,,,,72.4,0.0,57.9
Rinku Singh,RK Singh,Kolkata Knight Riders,batter,"Eden Gardens, Kolkata",51,1099,757,21.55,145.18,87,56,,,,,,,5,90,18.0,157.89,21.1,,,,,,36,848,23.56,150.35,,,,,77.0,0.0,61.6
Sunil Narine,SP Narine,Kolkata Knight Riders,all-rounder,"Eden Gardens, Kolkata",118,1780,1069,15.08,166.51,189,116,187,4345,212,5018,6.93,20.5,5,99,19.8,162.3,29.5,5,5,8.05,24.0,32.5,36,755,20.97,171.98,40,41,7.58,21.7,79.4,57.2,68.3
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,bowler,"Eden Gardens, Kolkata",11,26,47,2.36,55.32,2,0,83,1888,102,2432,7.73,18.5,5,4,0.8,33.33,0.0,5,7,9.79,16.3,34.2,3,2,0.67,20.0,41,58,8.16,15.8,13.1,52.4,44.5
Harshit Rana,Harshit Rana,Kolkata Knight Riders,bowler,"Eden Gardens, Kolkata",10,59,56,5.9,105.36,5,3,32,649,42,1047,9.68,15.5,5,48,9.6,123.08,17.9,5,4,12.18,25.5,31.4,8,57,7.12,105.56,30,41,9.64,15.1,46.3,32.5,35.3
Umran Malik,Umran Malik,Kolkata Knight Riders,bowler,"Eden Gardens, Kolkata",5,23,16,4.6,143.75,1,2,26,493,31,785,9.55,15.9,5,23,4.6,143.75,18.8,5,1,11.1,60.0,26.7,1,19,19.0,237.5,9,6,11.14,21.0,73.4,18.8,29.7
Vaibhav Arora,VG Arora,Kolkata Knight Riders,bowler,"Eden Gardens, Kolkata",9,9,24,1.0,37.5,0,0,32,638,39,1029,9.68,16.4,5,4,0.8,36.36,0.0,5,9,11.24,11.3,37.3,5,4,0.8,36.36,27,35,9.76,15.2,13.3,38.0,33.1
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,all-rounder,"Eden Gardens, Kolkata",20,217,137,10.85,158.39,9,17,4,40,6,64,9.6,6.7,5,19,3.8,135.71,14.3,4,6,9.6,6.7,30.0,16,172,10.75,177.32,1,0,13.5,,63.9,0.0,31.9
Rovman Powell,R Powell,Kolkata Knight Riders,batter,"Eden Gardens, Kolkata",23,365,249,15.87,146.59,22,28,2,18,1,35,11.67,18.0,5,44,8.8,110.0,17.5,2,1,11.67,18.0,22.2,11,115,10.45,140.24,1,1,9.0,12.0,58.8,0.0,47.0
Cameron Green,C Green,Kolkata Knight Riders,all-rounder,"Eden Gardens, Kolkata",28,707,460,25.25,153.7,62,32,29,439,20,675,9.23,22.0,5,144,28.8,158.24,19.8,5,6,7.33,15.0,38.9,28,707,25.25,153.7,29,20,9.23,22.0,84.6,37.8,61.2
Finn Allen,FA Allen,Kolkata Knight Riders,batter,"Eden Gardens, Kolkata",3,14,19,4.67,73.68,1,0,4,90,2,136,9.07,45.0,3,14,4.67,73.68,5.3,4,2,9.07,45.0,28.9,,,,,,,,,5.0,24.1,8.8
Matheesha Pathirana,M Pathirana,Kolkata Knight Riders,bowler,"Eden Gardens, Kolkata",,,,,,,,32,702,53,1047,8.95,13.2,,,,,,5,6,10.08,17.2,28.2,,,,,30,51,9.0,13.0,5.0,47.4,38.9
Anukul Roy,Anukul Roy,Kolkata Knight Riders,all-rounder,"Eden Gardens, Kolkata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,2.5
Tejasvi Singh,Tejasvi Singh,Kolkata Knight Riders,batter,"Eden Gardens, Kolkata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,4.0
Kartik Tyagi,Kartik Tyagi,Kolkata Knight Riders,bowler,"Eden Gardens, Kolkata",6,13,16,2.17,81.25,1,0,20,422,16,720,10.24,26.4,5,11,2.2,84.62,7.7,5,2,13.13,42.5,28.2,,,,,4,1,14.16,61.0,30.4,11.5,15.3
Prashant Solanki,PH Solanki,Kolkata Knight Riders,bowler,"Eden Gardens, Kolkata",,,,,,,,2,36,2,39,6.5,18.0,,,,,,2,2,6.5,18.0,30.6,,,,,,,,,5.0,0.0,1.0
Rahul Tripathi,RA Tripathi,Kolkata Knight Riders,batter,"Eden Gardens, Kolkata",98,2291,1662,23.38,137.85,229,85,1,6,0,12,12.0,,5,55,11.0,96.49,12.3,1,0,12.0,,0.0,24,493,20.54,128.05,,,,,63.7,0.0,51.0
Tim Seifert,TL Seifert,Kolkata Knight Riders,wk-batter,"Eden Gardens, Kolkata",3,26,23,8.67,113.04,4,0,,,,,,,3,26,8.67,113.04,17.4,,,,,,,,,,,,,,5.0,0.0,4.0
Sarthak Ranjan,Sarthak Ranjan,Kolkata Knight Riders,batter,"Eden Gardens, Kolkata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,4.0
Daksh Kamra,Daksh Kamra,Kolkata Knight Riders,batter,"Eden Gardens, Kolkata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,4.0
Rachin Ravindra,R Ravindra,Kolkata Knight Riders,all-rounder,"Eden Gardens, Kolkata",18,413,287,22.94,143.9,40,16,2,12,0,7,3.5,,5,85,17.0,123.19,15.9,2,0,3.5,,41.7,18,413,22.94,143.9,2,0,3.5,,72.3,0.0,36.1
Akash Deep,Akash Deep,Kolkata Knight Riders,bowler,"Eden Gardens, Kolkata",5,25,14,5.0,178.57,2,2,14,278,11,554,11.96,25.3,5,25,5.0,178.57,28.6,5,2,12.27,45.0,30.0,4,25,6.25,208.33,9,5,12.65,33.0,70.4,14.4,25.6
Blessing Muzarabani,Blessing Muzarabani,Kolkata Knight Riders,bowler,"Eden Gardens, Kolkata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,1.0
Rohit Sharma,RG Sharma,Mumbai Indians,batter,"Wankhede Stadium, Mumbai",266,7046,5334,26.49,132.1,640,303,32,339,16,462,8.18,21.2,5,125,25.0,137.36,20.9,5,1,8.89,27.0,18.5,45,1167,25.93,144.43,,,,,78.5,27.1,68.2
Suryakumar Yadav,SA Yadav,Mumbai Indians,batter,"Wankhede Stadium, Mumbai",151,4311,2900,28.55,148.66,454,168,1,6,0,8,8.0,,5,242,48.4,159.21,23.0,1,0,8.0,,33.3,43,1667,38.77,172.39,,,,,102.0,0.0,81.6
Hardik Pandya,HH Pandya,Mumbai Indians,all-rounder,"Wankhede Stadium, Mumbai",140,2749,1871,19.64,146.93,207,149,107,1628,84,2541,9.36,19.4,5,67,13.4,145.65,19.6,5,2,11.67,27.0,24.1,40,786,19.65,145.29,37,31,10.16,18.6,70.8,19.7,45.2
Tilak Varma,Tilak Varma,Mumbai Indians,batter,"Wankhede Stadium, Mumbai",51,1499,1038,29.39,144.41,113,74,4,22,0,28,7.64,,5,104,20.8,133.33,11.5,4,0,7.64,,36.4,37,1102,29.78,149.93,2,0,9.0,,81.5,0.0,65.2
Jasprit Bumrah,JJ Bumrah,Mumbai Indians,bowler,"Wankhede Stadium, Mumbai",27,68,79,2.52,86.08,5,1,145,3337,199,4132,7.43,16.8,5,12,2.4,92.31,7.7,5,7,6.36,16.6,49.1,5,12,2.4,92.31,25,42,6.69,14.2,33.2,77.4,68.6
Trent Boult,TA Boult,Mumbai Indians,bowler,"Wankhede Stadium, Mumbai",24,85,81,3.54,104.94,5,3,119,2683,151,3791,8.48,17.8,5,16,3.2,88.89,11.1,5,7,9.33,16.7,34.2,10,32,3.2,96.97,41,52,8.62,17.2,36.4,47.8,45.5
Will Jacks,WG Jacks,Mumbai Indians,all-rounder,"Wankhede Stadium, Mumbai",19,463,303,24.37,152.81,38,29,13,138,8,221,9.61,17.2,5,142,28.4,147.92,22.9,5,3,10.83,12.0,36.1,19,463,24.37,152.81,13,8,9.61,17.2,82.4,18.7,50.6
Ryan Rickelton,RD Rickelton,Mumbai Indians,batter,"Wankhede Stadium, Mumbai",14,388,257,27.71,150.97,47,17,,,,,,,5,173,34.6,157.27,24.5,,,,,,14,388,27.71,150.97,,,,,88.2,0.0,70.6
Robin Minz,R Minz,Mumbai Indians,wk-batter,"Wankhede Stadium, Mumbai",2,6,15,3.0,40.0,0,0,,,,,,,2,6,3.0,40.0,0.0,,,,,,2,6,3.0,40.0,,,,,5.0,0.0,4.0
Raj Bawa,RA Bawa,Mumbai Indians,all-rounder,"Wankhede Stadium, Mumbai",3,19,18,6.33,105.56,1,0,,,,,,,3,19,6.33,105.56,5.6,,,,,,1,8,8.0,200.0,,,,,5.0,0.0,2.5
Raghu Sharma,Raghu Sharma,Mumbai Indians,bowler,"Wankhede Stadium, Mumbai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,1.0
Mitchell Santner,MJ Santner,Mumbai Indians,all-rounder,"Wankhede Stadium, Mumbai",19,110,104,5.79,105.77,6,6,31,603,26,744,7.4,23.2,5,9,1.8,100.0,11.1,5,6,6.4,15.0,38.9,13,56,4.31,103.7,19,16,7.64,22.7,39.4,58.8,49.1
Corbin Bosch,C Bosch,Mumbai Indians,all-rounder,"Wankhede Stadium, Mumbai",2,47,32,23.5,146.88,3,3,2,42,1,56,8.0,42.0,2,47,23.5,146.88,18.8,2,1,8.0,42.0,54.8,2,47,23.5,146.88,2,1,8.0,42.0,5.0,0.0,2.5
Naman Dhir,Naman Dhir,Mumbai Indians,all-rounder,"Wankhede Stadium, Mumbai",19,392,217,20.63,180.65,37,23,5,52,1,76,8.77,52.0,5,97,19.4,179.63,27.8,5,1,8.77,52.0,21.2,19,392,20.63,180.65,5,1,8.77,52.0,85.4,0.0,42.7
Allah Ghazanfar,Allah Ghazanfar,Mumbai Indians,bowler,"Wankhede Stadium, Mumbai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,1.0
Ashwani Kumar,Ashwani Kumar,Mumbai Indians,bowler,"Wankhede Stadium, Mumbai",,,,,,,,7,123,11,234,11.41,11.2,,,,,,5,6,11.72,14.5,24.1,,,,,7,11,11.41,11.2,5.0,36.5,30.2
Deepak Chahar,DL Chahar,Mumbai Indians,bowler,"Wankhede Stadium, Mumbai",16,117,84,7.31,139.29,5,8,95,1915,91,2621,8.21,21.0,5,38,7.6,140.74,18.5,5,3,9.5,28.0,48.8,5,38,7.6,140.74,32,30,8.95,19.7,56.2,34.9,39.2
