season,date,dow,is_weekend,team1,team2,venue,t1_score,t2_score,t1_bat,t1_bowl,t2_bat,t2_bowl,pred_winner,actual_winner,correct
2023,2023-03-31,4,False,Chennai Super Kings,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",51.98,54.01,68.4,31.9,73.0,30.8,Gujarat Titans,Gujarat Titans,True
2023,2023-04-01,5,True,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",41.49,49.55,47.1,34.6,58.6,38.5,Kolkata Knight Riders,Punjab Kings,False
2023,2023-04-01,5,True,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",58.35,49.41,78.1,34.2,60.3,36.1,Lucknow Super Giants,Lucknow Super Giants,True
2023,2023-04-02,6,True,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",63.72,55.32,88.1,33.9,73.5,33.1,Rajasthan Royals,Rajasthan Royals,True
2023,2023-04-02,6,True,Mumbai Indians,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",55.38,43.14,78.8,26.7,59.9,22.6,Mumbai Indians,Royal Challengers Bangalore,False
2023,2023-04-03,0,False,Chennai Super Kings,Lucknow Super Giants,"MA Chidambaram Stadium, Chennai",55.51,59.2,68.8,39.3,77.2,37.2,Lucknow Super Giants,Chennai Super Kings,False
2023,2023-04-04,1,False,Delhi Capitals,Gujarat Titans,"Arun Jaitley Stadium, Delhi",51.55,56.99,65.4,34.6,80.3,28.5,Gujarat Titans,Gujarat Titans,True
2023,2023-04-05,2,False,Punjab Kings,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",45.29,62.15,49.4,40.2,84.9,34.3,Rajasthan Royals,Punjab Kings,False
2023,2023-04-06,3,False,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",52.77,43.71,65.8,36.8,60.7,22.9,Kolkata Knight Riders,Kolkata Knight Riders,True
2023,2023-04-07,4,False,Sunrisers Hyderabad,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",46.06,58.62,62.0,26.6,77.6,35.4,Lucknow Super Giants,Lucknow Super Giants,True
2023,2023-04-08,5,True,Rajasthan Royals,Delhi Capitals,"Barsapara Cricket Stadium, Guwahati",63.93,50.49,84.4,39.0,63.9,34.1,Rajasthan Royals,Rajasthan Royals,True
2023,2023-04-08,5,True,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",57.2,60.54,86.6,21.3,72.0,46.5,Chennai Super Kings,Chennai Super Kings,True
2023,2023-04-09,6,True,Gujarat Titans,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",53.68,56.35,73.5,29.5,72.8,36.3,Kolkata Knight Riders,Kolkata Knight Riders,True
2023,2023-04-09,6,True,Punjab Kings,Sunrisers Hyderabad,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",46.46,55.76,56.3,34.5,74.5,32.9,Sunrisers Hyderabad,Sunrisers Hyderabad,True
2023,2023-04-10,0,False,Royal Challengers Bangalore,Lucknow Super Giants,"M Chinnaswamy Stadium, Bengaluru",40.98,57.89,57.5,20.8,80.4,30.4,Lucknow Super Giants,Lucknow Super Giants,True
2023,2023-04-11,1,False,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",50.4,56.96,66.5,30.7,85.7,21.8,Mumbai Indians,Mumbai Indians,True
2023,2023-04-12,2,False,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chennai",53.8,57.44,77.7,24.6,69.6,42.6,Chennai Super Kings,Rajasthan Royals,False
2023,2023-04-13,3,False,Punjab Kings,Gujarat Titans,"Punjab Cricket Association IS Bindra Stadium, Mohali",46.73,57.04,58.2,32.7,76.1,33.8,Gujarat Titans,Gujarat Titans,True
