full_name,data_name,team_2026,role,venue,venue_bat_innings,venue_runs,venue_balls,venue_bat_avg,venue_bat_sr,venue_bowl_innings,venue_wickets,venue_econ,venue_bowl_sr,venue_bat_score,venue_bowl_score
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"Arun Jaitley Stadium, Delhi",3,158,98,52.67,161.22,,,,,119.6,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"Barsapara Cricket Stadium, Guwahati",1,63,44,63.0,143.18,,,,,126.5,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,17,13,17.0,130.77,,,,,64.8,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"Brabourne Stadium, Mumbai",3,4,14,1.33,28.57,,,,,11.2,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"Dr DY Patil Sports Academy, Mumbai",4,74,63,18.5,117.46,,,,,62.3,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,1,2,1.0,50.0,,,,,17.9,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,Dubai International Cricket Stadium,8,357,276,44.62,129.35,,,,,98.9,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"Eden Gardens, Kolkata",1,35,20,35.0,175.0,,,,,102.1,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,32,21,32.0,152.38,,,,,90.8,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"M Chinnaswamy Stadium, Bengaluru",2,3,7,1.5,42.86,,,,,16.2,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"MA Chidambaram Stadium, Chennai",18,764,539,42.44,141.74,,,,,100.3,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"Maharashtra Cricket Association Stadium, Pune",3,200,128,66.67,156.25,,,,,135.4,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"Narendra Modi Stadium, Ahmedabad",3,118,69,39.33,171.01,,,,,106.2,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,1,3,1.0,33.33,,,,,12.4,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,Rajiv Gandhi International Stadium,,,,,,,,,,,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",1,26,21,26.0,123.81,,,,,73.8,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"Sawai Mansingh Stadium, Jaipur",1,47,29,47.0,162.07,,,,,112.8,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,Sharjah Cricket Stadium,4,83,70,20.75,118.57,,,,,65.5,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,Sheikh Zayed Stadium,1,62,49,62.0,126.53,,,,,119.7,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"Wankhede Stadium, Mumbai",11,316,266,28.73,118.8,,,,,75.5,
Ruturaj Gaikwad,RD Gaikwad,Chennai Super Kings,batter,"Zayed Cricket Stadium, Abu Dhabi",2,141,88,70.5,160.23,,,,,141.5,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"Arun Jaitley Stadium, Delhi",10,202,183,20.2,110.38,,,,,62.0,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"Barsapara Cricket Stadium, Guwahati",1,16,11,16.0,145.45,,,,,68.5,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,54,20,27.0,270.0,,,,,123.8,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"Brabourne Stadium, Mumbai",3,65,62,21.67,104.84,,,,,62.0,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"Dr DY Patil Sports Academy, Mumbai",6,133,91,22.17,146.15,,,,,76.4,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",5,147,86,29.4,170.93,,,,,93.7,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,Dubai International Cricket Stadium,12,183,164,15.25,111.59,,,,,56.3,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"Eden Gardens, Kolkata",13,297,228,22.85,130.26,,,,,72.0,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"Himachal Pradesh Cricket Association Stadium, Dharamsala",3,60,46,20.0,130.43,,,,,68.5,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"M Chinnaswamy Stadium, Bengaluru",13,501,278,38.54,180.22,,,,,108.2,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"MA Chidambaram Stadium, Chennai",65,1547,1072,23.8,144.31,,,,,77.9,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"Maharashtra Cricket Association Stadium, Pune",2,10,10,5.0,100.0,,,,,39.6,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"Narendra Modi Stadium, Ahmedabad",5,92,75,18.4,122.67,,,,,63.9,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"Punjab Cricket Association IS Bindra Stadium, Mohali",7,187,109,26.71,171.56,,,,,90.6,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,Rajiv Gandhi International Stadium,2,27,20,13.5,135.0,,,,,61.9,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",1,1,2,1.0,50.0,,,,,17.9,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"Sawai Mansingh Stadium, Jaipur",6,145,111,24.17,130.63,,,,,73.8,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,Sharjah Cricket Stadium,6,86,72,14.33,119.44,,,,,57.7,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,Sheikh Zayed Stadium,5,97,68,19.4,142.65,,,,,71.8,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"Wankhede Stadium, Mumbai",24,416,347,17.33,119.88,,,,,61.6,
MS Dhoni,MS Dhoni,Chennai Super Kings,wk-batter,"Zayed Cricket Stadium, Abu Dhabi",1,1,4,1.0,25.0,,,,,9.6,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"Arun Jaitley Stadium, Delhi",22,585,448,26.59,130.58,,,,,76.8,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"Barsapara Cricket Stadium, Guwahati",5,93,71,18.6,130.99,,,,,66.9,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,71,33,71.0,215.15,,,,,160.5,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"Brabourne Stadium, Mumbai",5,114,82,22.8,139.02,,,,,74.8,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"Dr DY Patil Sports Academy, Mumbai",4,63,43,15.75,146.51,,,,,68.5,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",3,42,54,14.0,77.78,,,,,43.4,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,Dubai International Cricket Stadium,10,226,181,22.6,124.86,,,,,69.9,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"Eden Gardens, Kolkata",10,306,215,30.6,142.33,,,,,85.7,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,2,3,2.0,66.67,,,,,24.7,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"M Chinnaswamy Stadium, Bengaluru",6,177,107,29.5,165.42,,,,,92.0,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"MA Chidambaram Stadium, Chennai",5,59,59,11.8,100.0,,,,,48.1,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"Maharashtra Cricket Association Stadium, Pune",2,82,48,41.0,170.83,,,,,108.2,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"Narendra Modi Stadium, Ahmedabad",12,276,207,23.0,133.33,,,,,73.2,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"Punjab Cricket Association IS Bindra Stadium, Mohali",7,214,172,30.57,124.42,,,,,79.7,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,Rajiv Gandhi International Stadium,2,151,97,75.5,155.67,,,,,146.3,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",3,121,72,40.33,168.06,,,,,106.4,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"Sawai Mansingh Stadium, Jaipur",27,824,590,30.52,139.66,,,,,84.7,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,Sharjah Cricket Stadium,6,220,127,36.67,173.23,,,,,103.6,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,Sheikh Zayed Stadium,8,131,99,16.38,132.32,,,,,64.6,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"Wankhede Stadium, Mumbai",18,577,393,32.06,146.82,,,,,89.0,
Sanju Samson,SV Samson,Chennai Super Kings,wk-batter,"Zayed Cricket Stadium, Abu Dhabi",2,98,77,49.0,127.27,,,,,103.7,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"Arun Jaitley Stadium, Delhi",1,42,25,42.0,168.0,,,,,108.5,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"Barsapara Cricket Stadium, Guwahati",,,,,,,,,,,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,,,,,,,,,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"Brabourne Stadium, Mumbai",1,31,13,31.0,238.46,,,,,118.2,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"Dr DY Patil Sports Academy, Mumbai",1,4,7,4.0,57.14,,,,,24.0,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,,,,,,,,,,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,Dubai International Cricket Stadium,,,,,,,,,,,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"Eden Gardens, Kolkata",1,52,25,52.0,208.0,,,,,134.3,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"Himachal Pradesh Cricket Association Stadium, Dharamsala",,,,,,,,,,,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"M Chinnaswamy Stadium, Bengaluru",1,0,1,0.0,0.0,,,,,0.0,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"MA Chidambaram Stadium, Chennai",2,74,51,37.0,145.1,,,,,94.6,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"Maharashtra Cricket Association Stadium, Pune",3,86,55,28.67,156.36,1,1,16.0,3.0,88.0,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"Narendra Modi Stadium, Ahmedabad",2,103,61,51.5,168.85,,,,,120.7,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"Punjab Cricket Association IS Bindra Stadium, Mohali",,,,,,,,,,,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,Rajiv Gandhi International Stadium,,,,,,,,,,,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",,,,,,,,,,,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"Sawai Mansingh Stadium, Jaipur",,,,,,,,,,,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,Sharjah Cricket Stadium,,,,,,,,,,,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,Sheikh Zayed Stadium,,,,,,,,,,,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"Wankhede Stadium, Mumbai",4,63,59,15.75,106.78,,,,,55.3,
Dewald Brevis,D Brevis,Chennai Super Kings,batter,"Zayed Cricket Stadium, Abu Dhabi",,,,,,,,,,,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"Arun Jaitley Stadium, Delhi",1,43,20,43.0,215.0,,,,,125.4,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"Barsapara Cricket Stadium, Guwahati",,,,,,,,,,,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,,,,,,,,,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"Brabourne Stadium, Mumbai",,,,,,,,,,,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"Dr DY Patil Sports Academy, Mumbai",,,,,,,,,,,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,,,,,,,,,,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,Dubai International Cricket Stadium,,,,,,,,,,,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"Eden Gardens, Kolkata",1,0,2,0.0,0.0,,,,,0.0,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"Himachal Pradesh Cricket Association Stadium, Dharamsala",,,,,,,,,,,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"M Chinnaswamy Stadium, Bengaluru",1,94,48,94.0,195.83,,,,,182.8,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"MA Chidambaram Stadium, Chennai",2,37,25,18.5,148.0,,,,,72.5,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"Maharashtra Cricket Association Stadium, Pune",,,,,,,,,,,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"Narendra Modi Stadium, Ahmedabad",1,34,17,34.0,200.0,,,,,109.2,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"Punjab Cricket Association IS Bindra Stadium, Mohali",,,,,,,,,,,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,Rajiv Gandhi International Stadium,,,,,,,,,,,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",,,,,,,,,,,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"Sawai Mansingh Stadium, Jaipur",,,,,,,,,,,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,Sharjah Cricket Stadium,,,,,,,,,,,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,Sheikh Zayed Stadium,,,,,,,,,,,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"Wankhede Stadium, Mumbai",1,32,15,32.0,213.33,,,,,111.1,
Ayush Mhatre,A Mhatre,Chennai Super Kings,batter,"Zayed Cricket Stadium, Abu Dhabi",,,,,,,,,,,
Kartik Sharma,Kartik Sharma,Chennai Super Kings,wk-batter,"Arun Jaitley Stadium, Delhi",,,,,,,,,,,
Kartik Sharma,Kartik Sharma,Chennai Super Kings,wk-batter,"Barsapara Cricket Stadium, Guwahati",,,,,,,,,,,
Kartik Sharma,Kartik Sharma,Chennai Super Kings,wk-batter,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,,,,,,,,,
Kartik Sharma,Kartik Sharma,Chennai Super Kings,wk-batter,"Brabourne Stadium, Mumbai",,,,,,,,,,,
Kartik Sharma,Kartik Sharma,Chennai Super Kings,wk-batter,"Dr DY Patil Sports Academy, Mumbai",,,,,,,,,,,
Kartik Sharma,Kartik Sharma,Chennai Super Kings,wk-batter,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,,,,,,,,,,
Kartik Sharma,Kartik Sharma,Chennai Super Kings,wk-batter,Dubai International Cricket Stadium,,,,,,,,,,,
Kartik Sharma,Kartik Sharma,Chennai Super Kings,wk-batter,"Eden Gardens, Kolkata",,,,,,,,,,,
Kartik Sharma,Kartik Sharma,Chennai Super Kings,wk-batter,"Himachal Pradesh Cricket Association Stadium, Dharamsala",,,,,,,,,,,
Kartik Sharma,Kartik Sharma,Chennai Super Kings,wk-batter,"M Chinnaswamy Stadium, Bengaluru",,,,,,,,,,,
Kartik Sharma,Kartik Sharma,Chennai Super Kings,wk-batter,"MA Chidambaram Stadium, Chennai",,,,,,,,,,,
Kartik Sharma,Kartik Sharma,Chennai Super Kings,wk-batter,"Maharashtra Cricket Association Stadium, Pune",,,,,,,,,,,
