team,phase,wicket_bucket,role,matches,wins,win_rate
Chennai Super Kings,death,0,bat_first,13,6,0.46153846153846156
Chennai Super Kings,death,1,bat_first,44,23,0.5227272727272727
Chennai Super Kings,death,2,bat_first,33,18,0.5454545454545454
Chennai Super Kings,death,3,bat_first,46,24,0.5217391304347826
Chennai Super Kings,death,0,bat_second,29,26,0.896551724137931
Chennai Super Kings,death,1,bat_second,30,20,0.6666666666666666
Chennai Super Kings,death,2,bat_second,27,18,0.6666666666666666
Chennai Super Kings,death,3,bat_second,29,7,0.2413793103448276
Chennai Super Kings,middle,0,bat_first,9,7,0.7777777777777778
Chennai Super Kings,middle,1,bat_first,35,21,0.6
Chennai Super Kings,middle,2,bat_first,47,24,0.5106382978723404
Chennai Super Kings,middle,3,bat_first,45,19,0.4222222222222222
Chennai Super Kings,middle,0,bat_second,10,9,0.9
Chennai Super Kings,middle,1,bat_second,25,21,0.84
Chennai Super Kings,middle,2,bat_second,30,19,0.6333333333333333
Chennai Super Kings,middle,3,bat_second,50,22,0.44
Chennai Super Kings,pp,0,bat_first,34,24,0.7058823529411765
Chennai Super Kings,pp,1,bat_first,52,30,0.5769230769230769
Chennai Super Kings,pp,2,bat_first,36,14,0.3888888888888889
Chennai Super Kings,pp,3,bat_first,14,3,0.21428571428571427
Chennai Super Kings,pp,0,bat_second,32,26,0.8125
Chennai Super Kings,pp,1,bat_second,39,27,0.6923076923076923
Chennai Super Kings,pp,2,bat_second,28,14,0.5
Chennai Super Kings,pp,3,bat_second,16,4,0.25
Deccan Chargers,death,0,bat_first,1,0,
Deccan Chargers,death,1,bat_first,6,4,0.6666666666666666
Deccan Chargers,death,2,bat_first,14,7,0.5
Deccan Chargers,death,3,bat_first,22,7,0.3181818181818182
Deccan Chargers,death,0,bat_second,5,4,0.8
Deccan Chargers,death,1,bat_second,5,4,0.8
Deccan Chargers,death,2,bat_second,8,3,0.375
Deccan Chargers,death,3,bat_second,14,0,0.0
Deccan Chargers,middle,0,bat_first,4,3,0.75
Deccan Chargers,middle,1,bat_first,10,5,0.5
Deccan Chargers,middle,2,bat_first,12,6,0.5
Deccan Chargers,middle,3,bat_first,17,4,0.23529411764705882
Deccan Chargers,middle,0,bat_second,3,2,0.6666666666666666
Deccan Chargers,middle,1,bat_second,4,2,0.5
Deccan Chargers,middle,2,bat_second,8,4,0.5
Deccan Chargers,middle,3,bat_second,17,3,0.17647058823529413
Deccan Chargers,pp,0,bat_first,8,2,0.25
Deccan Chargers,pp,1,bat_first,12,4,0.3333333333333333
Deccan Chargers,pp,2,bat_first,19,9,0.47368421052631576
Deccan Chargers,pp,3,bat_first,4,3,0.75
Deccan Chargers,pp,0,bat_second,6,4,0.6666666666666666
Deccan Chargers,pp,1,bat_second,10,5,0.5
Deccan Chargers,pp,2,bat_second,12,2,0.16666666666666666
Deccan Chargers,pp,3,bat_second,4,0,0.0
Delhi Capitals,death,0,bat_first,3,2,0.6666666666666666
Delhi Capitals,death,1,bat_first,13,7,0.5384615384615384
Delhi Capitals,death,2,bat_first,11,6,0.5454545454545454
Delhi Capitals,death,3,bat_first,20,7,0.35
Delhi Capitals,death,0,bat_second,11,10,0.9090909090909091
Delhi Capitals,death,1,bat_second,10,9,0.9
Delhi Capitals,death,2,bat_second,12,6,0.5
Delhi Capitals,death,3,bat_second,25,4,0.16
Delhi Capitals,middle,0,bat_first,1,1,
