file_id,innings,batting_team,phase,wicket_bucket,role,prior_matches,prior_wins,prior_win_rate
335982,2,Royal Challengers Bangalore,pp,3,bat_second,0,0,
335982,2,Royal Challengers Bangalore,middle,3,bat_second,0,0,
335982,2,Royal Challengers Bangalore,death,1,bat_second,0,0,
335982,1,Kolkata Knight Riders,pp,1,bat_first,0,0,
335982,1,Kolkata Knight Riders,middle,1,bat_first,0,0,
335982,1,Kolkata Knight Riders,death,1,bat_first,0,0,
335984,2,Delhi Daredevils,pp,1,bat_second,0,0,
335984,2,Delhi Daredevils,middle,0,bat_second,0,0,
335984,2,Delhi Daredevils,death,0,bat_second,0,0,
335983,1,Chennai Super Kings,pp,1,bat_first,0,0,
335983,1,Chennai Super Kings,middle,3,bat_first,0,0,
335983,1,Chennai Super Kings,death,1,bat_first,0,0,
335984,1,Rajasthan Royals,pp,2,bat_first,0,0,
335984,1,Rajasthan Royals,middle,3,bat_first,0,0,
335984,1,Rajasthan Royals,death,1,bat_first,0,0,
335983,2,Kings XI Punjab,pp,1,bat_second,0,0,
335983,2,Kings XI Punjab,middle,2,bat_second,0,0,
335983,2,Kings XI Punjab,death,1,bat_second,0,0,
335986,2,Kolkata Knight Riders,pp,3,bat_second,0,0,
335986,2,Kolkata Knight Riders,middle,1,bat_second,0,0,
335986,2,Kolkata Knight Riders,death,1,bat_second,0,0,
335985,1,Mumbai Indians,pp,3,bat_first,0,0,
335985,1,Mumbai Indians,middle,1,bat_first,0,0,
335985,1,Mumbai Indians,death,3,bat_first,0,0,
335985,2,Royal Challengers Bangalore,pp,1,bat_second,0,0,
335985,2,Royal Challengers Bangalore,middle,3,bat_second,1,0,
335985,2,Royal Challengers Bangalore,death,1,bat_second,1,0,
335986,1,Deccan Chargers,pp,2,bat_first,0,0,
335986,1,Deccan Chargers,middle,3,bat_first,0,0,
335986,1,Deccan Chargers,death,3,bat_first,0,0,
335987,1,Kings XI Punjab,pp,1,bat_first,0,0,
335987,1,Kings XI Punjab,middle,3,bat_first,0,0,
335987,1,Kings XI Punjab,death,3,bat_first,0,0,
335987,2,Rajasthan Royals,pp,3,bat_second,0,0,
335987,2,Rajasthan Royals,middle,1,bat_second,0,0,
335987,2,Rajasthan Royals,death,0,bat_second,0,0,
335988,2,Delhi Daredevils,pp,1,bat_second,1,1,
335988,2,Delhi Daredevils,middle,0,bat_second,1,1,
335988,2,Delhi Daredevils,death,0,bat_second,1,1,
335988,1,Deccan Chargers,pp,2,bat_first,1,0,
335988,1,Deccan Chargers,middle,3,bat_first,1,0,
335988,1,Deccan Chargers,death,3,bat_first,1,0,
335989,1,Chennai Super Kings,pp,2,bat_first,0,0,
335989,1,Chennai Super Kings,middle,1,bat_first,0,0,
335989,1,Chennai Super Kings,death,2,bat_first,0,0,
335989,2,Mumbai Indians,pp,2,bat_second,0,0,
335989,2,Mumbai Indians,middle,3,bat_second,0,0,
335989,2,Mumbai Indians,death,2,bat_second,0,0,
335990,1,Deccan Chargers,pp,2,bat_first,2,0,
335990,1,Deccan Chargers,middle,1,bat_first,0,0,
335990,1,Deccan Chargers,death,2,bat_first,0,0,
335990,2,Rajasthan Royals,pp,1,bat_second,0,0,
335990,2,Rajasthan Royals,middle,2,bat_second,0,0,
335990,2,Rajasthan Royals,death,3,bat_second,0,0,
335991,1,Kings XI Punjab,pp,1,bat_first,1,0,
335991,1,Kings XI Punjab,middle,3,bat_first,1,0,
335991,1,Kings XI Punjab,death,3,bat_first,1,0,
335991,2,Mumbai Indians,pp,2,bat_second,1,0,
335991,2,Mumbai Indians,middle,3,bat_second,1,0,
335991,2,Mumbai Indians,death,2,bat_second,1,0,
335992,1,Royal Challengers Bangalore,pp,2,bat_first,0,0,
335992,1,Royal Challengers Bangalore,middle,3,bat_first,0,0,
335992,1,Royal Challengers Bangalore,death,1,bat_first,0,0,
335993,1,Kolkata Knight Riders,pp,3,bat_first,0,0,
335993,1,Kolkata Knight Riders,middle,3,bat_first,0,0,
335993,1,Kolkata Knight Riders,death,3,bat_first,0,0,
335993,2,Chennai Super Kings,pp,0,bat_second,0,0,
335993,2,Chennai Super Kings,middle,1,bat_second,0,0,
335993,2,Chennai Super Kings,death,0,bat_second,0,0,
335992,2,Rajasthan Royals,pp,2,bat_second,0,0,
335992,2,Rajasthan Royals,middle,0,bat_second,0,0,
335992,2,Rajasthan Royals,death,1,bat_second,0,0,
335994,1,Mumbai Indians,pp,3,bat_first,1,0,
335994,1,Mumbai Indians,middle,2,bat_first,0,0,
335994,1,Mumbai Indians,death,2,bat_first,0,0,
335994,2,Deccan Chargers,pp,0,bat_second,0,0,
335994,2,Deccan Chargers,middle,0,bat_second,0,0,
335994,2,Deccan Chargers,death,0,bat_second,0,0,
335995,1,Delhi Daredevils,pp,3,bat_first,0,0,
335995,1,Delhi Daredevils,middle,2,bat_first,0,0,
335995,1,Delhi Daredevils,death,3,bat_first,0,0,
335995,2,Kings XI Punjab,pp,2,bat_second,0,0,
335995,2,Kings XI Punjab,middle,2,bat_second,1,0,
335995,2,Kings XI Punjab,death,2,bat_second,0,0,
335996,2,Royal Challengers Bangalore,pp,1,bat_second,1,1,
335996,2,Royal Challengers Bangalore,middle,2,bat_second,0,0,
335996,2,Royal Challengers Bangalore,death,3,bat_second,0,0,
335996,1,Chennai Super Kings,pp,1,bat_first,1,1,
335996,1,Chennai Super Kings,middle,2,bat_first,0,0,
335996,1,Chennai Super Kings,death,2,bat_first,1,1,
335997,2,Mumbai Indians,pp,3,bat_second,0,0,
335997,2,Mumbai Indians,middle,0,bat_second,0,0,
335997,2,Mumbai Indians,death,0,bat_second,0,0,
335997,1,Kolkata Knight Riders,pp,3,bat_first,1,0,
