team,venue,players_with_bat_data,players_with_bowl_data,avg_bat_score,avg_bowl_score,max_bat_score,max_bowl_score,top3_bat_avg,top3_bowl_avg
Chennai Super Kings,"Arun Jaitley Stadium, Delhi",34,15,74.1,49.4,188.3,89.9,151.6,78.1
Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",7,4,81.3,61.5,126.5,90.6,104.8,69.5
Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",9,4,84.2,32.3,160.5,66.7,126.1,43.1
Chennai Super Kings,"Brabourne Stadium, Mumbai",22,7,73.8,52.9,139.4,94.5,127.6,77.6
Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",26,9,60.9,59.9,167.9,100.0,120.0,79.8
Chennai Super Kings,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",16,4,71.6,60.2,114.6,81.2,108.0,74.7
Chennai Super Kings,Dubai International Cricket Stadium,19,11,53.1,44.0,98.9,75.0,86.2,67.2
Chennai Super Kings,"Eden Gardens, Kolkata",31,13,64.4,40.2,134.3,100.0,126.1,84.6
Chennai Super Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",15,3,56.3,37.2,115.3,62.5,101.5,37.2
Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",26,11,66.4,52.8,182.8,85.0,152.1,79.1
Chennai Super Kings,"MA Chidambaram Stadium, Chennai",40,25,58.6,51.9,100.3,84.4,96.8,83.9
Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",15,4,67.6,52.2,139.2,87.5,127.6,58.1
Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",27,6,76.0,49.5,140.5,83.3,132.8,70.5
Chennai Super Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali",26,14,65.8,49.4,133.2,100.0,120.3,81.9
Chennai Super Kings,Rajiv Gandhi International Stadium,15,8,62.3,58.8,146.3,98.2,115.6,89.3
Chennai Super Kings,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",9,2,45.8,25.8,118.8,39.0,99.7,
Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",26,8,60.1,42.2,117.5,72.4,105.1,62.9
Chennai Super Kings,Sharjah Cricket Stadium,16,4,57.5,48.2,103.6,100.0,91.7,62.2
Chennai Super Kings,Sheikh Zayed Stadium,18,6,65.8,48.3,133.8,74.1,120.2,61.9
Chennai Super Kings,"Wankhede Stadium, Mumbai",38,17,50.6,38.5,111.1,72.2,96.2,71.1
Chennai Super Kings,"Zayed Cricket Stadium, Abu Dhabi",9,1,71.2,,141.5,28.6,125.3,
Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",41,20,56.0,43.3,128.5,100.0,112.0,88.6
Kolkata Knight Riders,"Barsapara Cricket Stadium, Guwahati",7,0,36.4,,70.6,,67.4,
Kolkata Knight Riders,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",14,3,75.1,49.0,170.5,75.0,148.1,49.0
Kolkata Knight Riders,"Brabourne Stadium, Mumbai",27,8,66.8,47.3,122.5,83.3,113.7,70.4
Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",23,11,49.7,47.0,110.1,75.0,103.3,66.7
Kolkata Knight Riders,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",11,3,80.7,45.6,178.9,58.1,151.3,45.6
Kolkata Knight Riders,Dubai International Cricket Stadium,20,8,50.8,53.0,96.0,85.4,88.1,69.2
Kolkata Knight Riders,"Eden Gardens, Kolkata",54,27,56.5,48.0,114.6,100.0,106.0,82.5
Kolkata Knight Riders,"Himachal Pradesh Cricket Association Stadium, Dharamsala",9,2,67.5,84.0,114.8,100.0,104.9,
Kolkata Knight Riders,"M Chinnaswamy Stadium, Bengaluru",36,18,63.6,48.0,131.2,100.0,116.0,75.7
Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",39,18,61.8,53.5,151.2,87.5,130.0,84.9
Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",17,6,44.4,65.3,111.1,93.8,88.3,79.6
Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",20,8,59.6,38.5,136.2,70.0,108.7,59.6
Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",37,12,52.7,46.3,97.2,87.5,92.8,73.4
Kolkata Knight Riders,Rajiv Gandhi International Stadium,14,3,61.3,40.1,133.8,53.6,113.8,40.1
Kolkata Knight Riders,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",15,2,68.6,48.6,119.2,70.9,107.8,
Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",25,10,60.5,42.2,108.5,59.4,98.7,57.1
Kolkata Knight Riders,Sharjah Cricket Stadium,20,6,51.2,57.2,121.8,76.4,96.3,68.9
Kolkata Knight Riders,Sheikh Zayed Stadium,17,9,43.8,52.8,87.3,75.4,80.4,73.8
Kolkata Knight Riders,"Wankhede Stadium, Mumbai",50,22,51.0,40.6,135.1,81.1,125.4,72.7
Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",8,5,73.8,66.2,142.3,100.0,120.8,78.1
