season,date,team1,team2,toss_winner,toss_decision,team1_won_toss,toss_chose_bat,prob_team1,predicted_winner,actual_winner,correct
2023,2023-03-31,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,0,0,0.5156248807907104,Chennai Super Kings,Gujarat Titans,0
2023,2023-04-01,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,0,0,0.47765398025512695,Kolkata Knight Riders,Kings XI Punjab,0
2023,2023-04-01,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,0,0,0.4894527196884155,Delhi Capitals,Lucknow Super Giants,0
2023,2023-04-02,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0,0,0.49721559882164,Sunrisers Hyderabad,Rajasthan Royals,0
2023,2023-04-02,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bangalore,field,0,0,0.4768906831741333,Royal Challengers Bengaluru,Royal Challengers Bengaluru,1
2023,2023-04-03,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,0,0,0.4935813844203949,Lucknow Super Giants,Chennai Super Kings,0
2023,2023-04-04,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,0,0,0.49470698833465576,Gujarat Titans,Gujarat Titans,1
2023,2023-04-05,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,0,0,0.48836803436279297,Rajasthan Royals,Kings XI Punjab,0
2023,2023-04-06,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bangalore,field,0,0,0.4850124716758728,Royal Challengers Bengaluru,Kolkata Knight Riders,0
2023,2023-04-07,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,1,1,0.4944043457508087,Lucknow Super Giants,Lucknow Super Giants,1
2023,2023-04-08,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,0,0,0.5022872686386108,Rajasthan Royals,Rajasthan Royals,1
2023,2023-04-08,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,0,0,0.4908643066883087,Chennai Super Kings,Chennai Super Kings,1
2023,2023-04-09,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,1,1,0.5640379190444946,Gujarat Titans,Kolkata Knight Riders,0
2023,2023-04-09,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0,0,0.5340753793716431,Kings XI Punjab,Sunrisers Hyderabad,0
2023,2023-04-10,Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants,field,0,0,0.5350657105445862,Royal Challengers Bengaluru,Lucknow Super Giants,0
2023,2023-04-11,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,0,0,0.5029034614562988,Delhi Capitals,Mumbai Indians,0
2023,2023-04-12,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,0,0,0.5107611417770386,Rajasthan Royals,Rajasthan Royals,1
2023,2023-04-13,Kings XI Punjab,Gujarat Titans,Gujarat Titans,field,0,0,0.5116044282913208,Kings XI Punjab,Gujarat Titans,0
2023,2023-04-14,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,0,0,0.4921720027923584,Kolkata Knight Riders,Sunrisers Hyderabad,0
2023,2023-04-15,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,0,0,0.5129334330558777,Royal Challengers Bengaluru,Royal Challengers Bengaluru,1
2023,2023-04-15,Lucknow Super Giants,Kings XI Punjab,Punjab Kings,field,0,0,0.5028727054595947,Lucknow Super Giants,Kings XI Punjab,0
2023,2023-04-16,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,0,0,0.5070699453353882,Kolkata Knight Riders,Mumbai Indians,0
2023,2023-04-16,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,0,0,0.5234285593032837,Gujarat Titans,Rajasthan Royals,0
2023,2023-04-17,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bangalore,field,0,0,0.5150527954101562,Chennai Super Kings,Chennai Super Kings,1
2023,2023-04-18,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0,0,0.4959701597690582,Sunrisers Hyderabad,Mumbai Indians,0
2023,2023-04-19,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,0,0,0.48364195227622986,Rajasthan Royals,Lucknow Super Giants,0
2023,2023-04-20,Royal Challengers Bengaluru,Kings XI Punjab,Punjab Kings,field,0,0,0.48158159852027893,Kings XI Punjab,Royal Challengers Bengaluru,0
2023,2023-04-20,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,0,0,0.5138375759124756,Kolkata Knight Riders,Delhi Capitals,0
2023,2023-04-21,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,0,0,0.508138120174408,Sunrisers Hyderabad,Chennai Super Kings,0
2023,2023-04-22,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,1,1,0.5618220567703247,Gujarat Titans,Gujarat Titans,1
2023,2023-04-22,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,0,0,0.5121585130691528,Kings XI Punjab,Kings XI Punjab,1
