file_id,date,venue,weather_hour,temperature,humidity,cloud_cover,wind_speed,precipitation
335982,2008-04-18,"M Chinnaswamy Stadium, Bengaluru",19,28.5,31,22,7.1,0.0
335983,2008-04-19,"PCA Stadium, Mohali",15,35.4,9,51,18.9,0.0
335984,2008-04-19,"Arun Jaitley Stadium, Delhi",19,31.5,16,0,9.4,0.0
335986,2008-04-20,"Eden Gardens, Kolkata",19,31.1,50,0,11.2,0.0
335985,2008-04-20,"Wankhede Stadium, Mumbai",15,31.4,61,0,18.1,0.0
335987,2008-04-21,"Sawai Mansingh Stadium, Jaipur",19,33.4,15,0,8.2,0.0
335988,2008-04-22,"Rajiv Gandhi Intl Stadium, Hyderabad",19,33.6,23,5,8.3,0.0
335989,2008-04-23,"MA Chidambaram Stadium, Chennai",19,28.5,82,98,17.1,0.0
335990,2008-04-24,"Rajiv Gandhi Intl Stadium, Hyderabad",19,32.6,34,39,11.5,0.0
335991,2008-04-25,"PCA Stadium, Mohali",19,34.0,11,14,9.8,0.0
335993,2008-04-26,"MA Chidambaram Stadium, Chennai",19,29.2,73,61,11.5,0.0
335992,2008-04-26,"M Chinnaswamy Stadium, Bengaluru",15,33.3,26,28,14.0,0.0
335994,2008-04-27,"DY Patil Stadium, Mumbai",15,32.6,52,0,16.8,0.0
335995,2008-04-27,"PCA Stadium, Mohali",19,33.1,14,0,7.4,0.0
335996,2008-04-28,"M Chinnaswamy Stadium, Bengaluru",19,22.3,94,100,6.5,3.9
335997,2008-04-29,"Eden Gardens, Kolkata",19,29.0,71,28,17.2,0.0
335998,2008-04-30,"Arun Jaitley Stadium, Delhi",19,35.6,15,0,10.5,0.0
335999,2008-05-01,"Rajiv Gandhi Intl Stadium, Hyderabad",15,40.2,12,17,12.6,0.0
336000,2008-05-01,"Sawai Mansingh Stadium, Jaipur",19,34.9,11,46,9.7,0.0
336001,2008-05-02,"MA Chidambaram Stadium, Chennai",19,31.8,64,16,21.3,0.0
336034,2008-05-03,"M Chinnaswamy Stadium, Bengaluru",19,27.7,33,10,9.7,0.0
336003,2008-05-03,"PCA Stadium, Mohali",15,42.2,8,59,14.5,0.0
336004,2008-05-04,"DY Patil Stadium, Mumbai",15,31.6,52,0,16.8,0.0
336005,2008-05-04,"Sawai Mansingh Stadium, Jaipur",19,35.7,12,0,14.4,0.0
336006,2008-05-05,"M Chinnaswamy Stadium, Bengaluru",19,27.7,35,15,7.4,0.0
336007,2008-05-06,"MA Chidambaram Stadium, Chennai",19,31.0,68,29,20.2,0.0
336008,2008-05-07,"DY Patil Stadium, Mumbai",19,28.6,65,8,13.7,0.0
336010,2008-05-08,"Eden Gardens, Kolkata",19,30.6,70,6,12.2,0.0
336009,2008-05-08,"Arun Jaitley Stadium, Delhi",15,39.5,14,23,11.7,0.0
336011,2008-05-09,"Sawai Mansingh Stadium, Jaipur",19,31.9,25,25,9.0,0.0
336013,2008-05-10,"MA Chidambaram Stadium, Chennai",19,30.6,73,12,19.8,0.0
336014,2008-05-11,"Rajiv Gandhi Intl Stadium, Hyderabad",15,38.4,15,5,15.5,0.0
336015,2008-05-11,"Sawai Mansingh Stadium, Jaipur",19,32.3,28,61,9.7,0.0
336016,2008-05-12,"PCA Stadium, Mohali",19,29.7,41,57,6.9,0.0
336017,2008-05-13,"Eden Gardens, Kolkata",19,30.3,73,47,9.4,0.0
336018,2008-05-14,"Wankhede Stadium, Mumbai",19,28.2,69,16,14.9,0.0
336020,2008-05-15,"Arun Jaitley Stadium, Delhi",19,35.1,31,32,6.4,0.0
336021,2008-05-16,"Wankhede Stadium, Mumbai",19,29.0,72,3,13.0,0.0
336023,2008-05-17,"Sawai Mansingh Stadium, Jaipur",19,35.3,27,31,18.0,0.0
336022,2008-05-17,"Arun Jaitley Stadium, Delhi",15,39.6,23,74,15.6,0.4
336024,2008-05-18,"Rajiv Gandhi Intl Stadium, Hyderabad",15,38.4,15,0,16.3,0.0
336025,2008-05-18,"Eden Gardens, Kolkata",19,31.1,74,28,11.8,0.0
336026,2008-05-19,"M Chinnaswamy Stadium, Bengaluru",19,25.4,64,100,4.6,0.6
336027,2008-05-20,"Eden Gardens, Kolkata",19,29.4,80,65,5.9,0.0
336028,2008-05-21,"Wankhede Stadium, Mumbai",15,31.3,63,1,17.9,0.0
336029,2008-05-21,"MA Chidambaram Stadium, Chennai",19,31.6,66,100,7.6,0.0
336031,2008-05-23,"PCA Stadium, Mohali",19,28.2,60,43,5.1,0.0
336032,2008-05-24,"Arun Jaitley Stadium, Delhi",15,32.7,51,79,9.3,0.0
336033,2008-05-24,"MA Chidambaram Stadium, Chennai",19,30.7,70,23,15.9,0.0
336002,2008-05-25,"Rajiv Gandhi Intl Stadium, Hyderabad",15,37.5,26,100,9.8,0.0
336035,2008-05-25,"Eden Gardens, Kolkata",19,26.3,92,100,8.2,3.7
336036,2008-05-26,"Sawai Mansingh Stadium, Jaipur",19,32.5,34,9,7.1,0.0
336037,2008-05-27,"Rajiv Gandhi Intl Stadium, Hyderabad",19,34.2,22,42,10.7,0.0
336019,2008-05-28,"PCA Stadium, Mohali",19,31.0,27,35,8.0,0.0
336012,2008-05-28,"M Chinnaswamy Stadium, Bengaluru",15,27.7,63,100,1.6,0.4
336038,2008-05-30,"Wankhede Stadium, Mumbai",19,29.9,71,4,12.8,0.0
336039,2008-05-31,"Wankhede Stadium, Mumbai",19,29.8,70,10,16.8,0.0
336040,2008-06-01,"DY Patil Stadium, Mumbai",19,29.8,68,7,14.4,0.0
392181,2009-04-18,Newlands,15,18.8,78,98,15.2,0.2
392182,2009-04-18,Newlands,19,18.7,76,99,16.9,0.0
392183,2009-04-19,Newlands,15,16.2,91,100,6.6,0.8
392184,2009-04-19,Newlands,19,18.0,72,55,12.0,0.0
392185,2009-04-20,St George's Park,19,16.6,59,94,21.0,0.0
392186,2009-04-21,Kingsmead,19,18.1,64,84,13.0,0.0
392188,2009-04-22,Newlands,19,23.1,43,100,6.4,0.0
392189,2009-04-23,Kingsmead,19,24.3,66,87,15.8,0.0
392191,2009-04-24,Kingsmead,19,25.4,70,0,8.5,0.0
392192,2009-04-25,Kingsmead,19,24.9,72,51,6.4,0.0
392194,2009-04-26,St George's Park,15,20.2,70,69,20.3,0.0
392195,2009-04-26,Newlands,19,19.5,70,99,14.7,0.0
392196,2009-04-27,Kingsmead,15,23.6,57,17,10.6,0.0
392197,2009-04-27,St George's Park,19,19.2,74,8,13.0,0.0
392198,2009-04-28,SuperSport Park,19,23.2,24,86,12.3,0.0
392200,2009-04-29,Kingsmead,19,26.0,75,99,13.6,0.0
392199,2009-04-29,Kingsmead,15,27.6,59,66,12.1,0.0
392202,2009-04-30,SuperSport Park,19,25.5,24,8,17.3,0.0
392201,2009-04-30,SuperSport Park,15,24.9,26,3,16.8,0.0
392204,2009-05-01,Kingsmead,19,23.4,67,61,13.4,0.0
392203,2009-05-01,Buffalo Park,15,19.2,48,39,7.4,0.1
392205,2009-05-02,St George's Park,15,19.0,55,1,14.8,0.0
392206,2009-05-02,New Wanderers Stadium,19,18.3,51,83,18.4,0.0
392208,2009-05-03,New Wanderers Stadium,19,16.5,63,91,15.1,0.0
392207,2009-05-03,St George's Park,15,18.2,71,10,13.2,0.0
392209,2009-05-04,Buffalo Park,19,22.7,64,51,16.2,0.0
392210,2009-05-05,Kingsmead,15,23.4,74,68,7.7,0.0
392211,2009-05-05,Kingsmead,19,22.7,80,63,8.4,0.0
392212,2009-05-06,SuperSport Park,19,22.7,48,58,11.1,0.0
392213,2009-05-07,SuperSport Park,15,20.7,57,9,12.3,0.0
392214,2009-05-07,SuperSport Park,19,21.4,50,5,14.5,0.0
392215,2009-05-08,Buffalo Park,19,17.6,60,55,17.4,0.0
392216,2009-05-09,De Beers Diamond Oval,15,17.7,54,15,8.3,0.0
